agency,item,quantity,datereceived,totalcost
ALLENHURST POLICE DEPT,"TRUCK,UTILITY",1,9/18/14,"$41,061.00 "
ALLENHURST POLICE DEPT,"SEMITRAILER,LOW  BED",1,9/23/14,"$20,007.00 "
ALLENHURST POLICE DEPT,HYDRATION SYSTEM,10,9/25/14,$387.30 
ALLENHURST POLICE DEPT,"LINER,WET WEATHER PONCHO",10,9/25/14,$374.20 
ALLENHURST POLICE DEPT,VAN,1,9/23/14,"$1,000.00 "
ALLENHURST POLICE DEPT,"CONTAINER,AMMUNITION",1,9/22/14,$37.00 
ALLENHURST POLICE DEPT,"CONTAINER,AMMUNITION",4,9/22/14,$148.00 
ALLENHURST POLICE DEPT,"FLOODLIGHT SET,TRAILER MOUNTED",4,10/24/14,"$17,956.00 "
ALLENHURST POLICE DEPT,FIELD PACK,13,10/27/14,"$2,975.57 "
ALLENHURST POLICE DEPT,"GLOVE INSERTS,COLD WEATHER",15,10/27/14,$45.00 
ALLENHURST POLICE DEPT,"TRUCK,VAN",1,10/24/14,"$111,395.00 "
ALLENHURST POLICE DEPT,M14 ASSAULT RIFLE,1,4/17/14,$138.00 
ALLENHURST POLICE DEPT,M14 ASSAULT RIFLE,1,4/17/14,$138.00 
ATLANTIC CITY POLICE DEPT,M14 ASSAULT RIFLE,1,4/17/14,$138.00 
ATLANTIC CITY POLICE DEPT,M14 ASSAULT RIFLE,1,4/17/14,$138.00 
ATLANTIC CITY POLICE DEPT,M14 ASSAULT RIFLE,1,4/17/14,$138.00 
ATLANTIC CITY POLICE DEPT,M14 ASSAULT RIFLE,1,4/17/14,$138.00 
ATLANTIC CITY POLICE DEPT,M14 ASSAULT RIFLE,1,4/17/14,$138.00 
ATLANTIC CITY POLICE DEPT,M14 ASSAULT RIFLE,1,4/17/14,$138.00 
ATLANTIC CITY POLICE DEPT,M14 ASSAULT RIFLE,1,4/17/14,$138.00 
ATLANTIC CITY POLICE DEPT,M14 ASSAULT RIFLE,1,4/17/14,$138.00 
AVALON POLICE DEPT,TRUCK TRACTOR,1,4/28/14,"$57,454.00 "
AVALON POLICE DEPT,TRUCK TRACTOR,1,4/28/14,"$57,454.00 "
AVALON POLICE DEPT,"TRUCK,UTILITY",1,4/30/14,"$50,458.00 "
AVALON POLICE DEPT,"TRUCK,UTILITY",1,4/30/14,"$50,458.00 "
AVALON POLICE DEPT,TRUCK TRACTOR,3,4/28/14,"$212,496.00 "
AVALON POLICE DEPT,"TRUCK,DUMP",1,4/28/14,"$72,425.00 "
AVALON POLICE DEPT,"FLOODLIGHT SET,ELECTRIC",5,4/28/14,"$92,000.00 "
AVALON POLICE DEPT,TRUCK TRACTOR,2,9/1/14,"$141,664.00 "
AVALON POLICE DEPT,TRAILER,1,9/3/14,"$818,208.00 "
AVALON POLICE DEPT,"TRUCK,VAN",1,9/10/14,"$135,122.00 "
AVALON POLICE DEPT,"TRUCK,VAN",1,9/11/14,"$135,122.00 "
AVON BY THE SEA POLICE DEPT,"TRACTOR,FULL TRACKED,LOW  SPEED",1,2/15/14,"$72,325.00 "
AVON BY THE SEA POLICE DEPT,"COMPRESSOR  UNIT,RECIPROCATING",1,3/20/14,"$1,558.00 "
AVON BY THE SEA POLICE DEPT,"GLOVE,PATIENT EXAMINING",2,3/20/14,$35.64 
AVON BY THE SEA POLICE DEPT,"TOOL KIT,ELECTRONIC SYSTEM",1,3/20/14,"$1,127.00 "
AVON BY THE SEA POLICE DEPT,"TRACTOR,WHEELED,INDUSTRIAL",1,5/7/14,"$110,000.00 "
AVON BY THE SEA POLICE DEPT,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",1,5/6/14,"$20,415.00 "
AVON BY THE SEA POLICE DEPT,"TRUCK,CARGO",1,3/21/14,"$93,042.00 "
AVON BY THE SEA POLICE DEPT,"COMPRESSOR  UNIT,RECIPROCATING",1,3/20/14,"$1,072.00 "
AVON BY THE SEA POLICE DEPT,"TOOL KIT,GENERAL MECHANIC'S",1,3/20/14,$569.00 
AVON BY THE SEA POLICE DEPT,"TRUCK,UTILITY",1,5/7/14,"$47,023.00 "
AVON BY THE SEA POLICE DEPT,"COVER,FITTED,VEHICULAR CAB",1,3/20/14,$728.16 
AVON BY THE SEA POLICE DEPT,"TRUCK,UTILITY",1,5/7/14,"$50,458.00 "
AVON BY THE SEA POLICE DEPT,"TRUCK,UTILITY",1,8/22/14,"$41,061.00 "
AVON BY THE SEA POLICE DEPT,"CABLE  ASSEMBLY,POWER,ELECTRICAL",2,10/31/14,$653.08 
AVON BY THE SEA POLICE DEPT,"CABLE  ASSEMBLY,POWER,ELECTRICAL",1,10/31/14,$326.54 
BARNEGAT TOWNSHIP POLICE DEPT,"TRUCK,CARGO",1,4/30/14,"$67,139.00 "
BARNEGAT TOWNSHIP POLICE DEPT,"SIGHT,REFLEX",20,4/30/14,"$6,800.00 "
BARNEGAT TOWNSHIP POLICE DEPT,"TRUCK,CARGO",1,3/31/14,"$75,278.00 "
BARNEGAT TOWNSHIP POLICE DEPT,"TRUCK,UTILITY",1,3/31/14,"$49,897.00 "
BARNEGAT TOWNSHIP POLICE DEPT,"TRUCK,UTILITY",1,3/31/14,"$49,897.00 "
BARNEGAT TOWNSHIP POLICE DEPT,"TRUCK,UTILITY",1,3/31/14,"$49,897.00 "
BARNEGAT TOWNSHIP POLICE DEPT,"TRUCK,UTILITY",1,3/31/14,"$49,897.00 "
BARNEGAT TOWNSHIP POLICE DEPT,"CABLE KIT,SPECIAL POWER",2,4/1/14,$792.00 
BARNEGAT TOWNSHIP POLICE DEPT,"MAGAZINE,CARTRIDGE",50,4/25/14,$499.00 
BARNEGAT TOWNSHIP POLICE DEPT,CONTAINER FOR REFRI,1,10/15/14,"$19,547.36 "
BARNEGAT TOWNSHIP POLICE DEPT,"TRUCK,LIFT,FORK",1,10/31/14,"$72,370.00 "
BARNEGAT TOWNSHIP POLICE DEPT,"SIGHT,HOLOGRAPHIC",3,10/16/14,"$1,783.83 "
BELLEVILLE POLICE DEPT,"SIGHT,REFLEX",18,4/14/14,"$6,120.00 "
BELLEVILLE POLICE DEPT,"SIGHT,REFLEX",10,4/14/14,"$3,400.00 "
BELLEVILLE POLICE DEPT,ACOG KIT,2,4/14/14,$366.00 
BELLEVILLE POLICE DEPT,"SIGHT,REFLEX",5,4/14/14,"$1,700.00 "
BELLEVILLE POLICE DEPT,"MEDICAL MATERIEL SET,MINIMAL CARE WARD,DEPLOYABLE MEDICAL SYSTEM",1,4/14/14,"$30,023.12 "
BELLEVILLE POLICE DEPT,"TRUCK,CARGO",1,10/22/14,"$67,139.00 "
BELLEVILLE POLICE DEPT,"TRUCK,VAN",1,10/22/14,"$111,395.00 "
BELLEVILLE POLICE DEPT,"TRUCK,CARGO",1,9/27/11,"$56,832.00 "
BELLEVILLE POLICE DEPT,"TRUCK,CARGO",1,9/27/11,"$56,832.00 "
BELLEVILLE POLICE DEPT,M14 ASSAULT RIFLE,1,4/15/14,$138.00 
BELLEVILLE POLICE DEPT,M14 ASSAULT RIFLE,1,4/15/14,$138.00 
BELLEVILLE POLICE DEPT,M14 ASSAULT RIFLE,1,4/15/14,$138.00 
BELLEVILLE POLICE DEPT,M14 ASSAULT RIFLE,1,4/17/14,$138.00 
BELLEVILLE POLICE DEPT,M14 ASSAULT RIFLE,1,4/15/14,$138.00 
BELLEVILLE POLICE DEPT,M14 ASSAULT RIFLE,1,4/15/14,$138.00 
BELLEVILLE POLICE DEPT,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
BELLEVILLE POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
BELLEVILLE POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
BELLEVILLE POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELMAR POLICE DEPT,"INSTALLATION KIT,ELECTRONIC EQUIPMENT",1,8/7/14,"$21,518.00 "
BELMAR POLICE DEPT,"TRUCK,UTILITY",1,4/18/14,"$41,061.00 "
BELMAR POLICE DEPT,"TRUCK,UTILITY",1,4/18/14,"$41,061.00 "
BELMAR POLICE DEPT,"TRUCK,UTILITY",1,4/18/14,"$41,061.00 "
BELMAR POLICE DEPT,"TRUCK,UTILITY",1,4/18/14,"$41,061.00 "
BELMAR POLICE DEPT,"POWER PLANT,ELECTRIC,TRAILER MOUNTED",1,4/16/14,"$33,085.00 "
BELMAR POLICE DEPT,"TRUCK,UTILITY",1,1/29/14,"$50,458.00 "
BELMAR POLICE DEPT,"TRUCK,UTILITY",1,1/29/14,"$50,458.00 "
BELMAR POLICE DEPT,"TRUCK,UTILITY",1,4/18/14,"$41,061.00 "
BELMAR POLICE DEPT,"TRUCK,UTILITY",1,4/18/14,"$41,061.00 "
BELMAR POLICE DEPT,CONVENIENCE OUTLET ASSEMBLY,64,4/16/14,"$21,344.00 "
BELMAR POLICE DEPT,ELECTRIC RESISTANCE WELDING EQUIPMENT,1,4/16/14,"$1,379.00 "
BELMAR POLICE DEPT,"SAW, POWER",1,4/16/14,"$2,500.00 "
BELMAR POLICE DEPT,TRUCK TRACTOR,1,4/16/14,"$86,203.00 "
BELMAR POLICE DEPT,"TRUCK,CARGO",2,4/16/14,"$144,080.00 "
BELMAR POLICE DEPT,"TRUCK,CARGO",2,4/16/14,"$134,278.00 "
BELMAR POLICE DEPT,TRUCK TRACTOR,1,4/16/14,"$86,203.00 "
BELMAR POLICE DEPT,"TRUCK,VAN",1,4/16/14,"$135,122.00 "
BELMAR POLICE DEPT,"BOAT,LANDING,INFLATABLE",4,4/16/14,"$70,344.00 "
BELMAR POLICE DEPT,DESK,2,4/16/14,$500.00 
BELMAR POLICE DEPT,"CHAIR, UPHOLSTERED",1,4/16/14,$125.00 
BELMAR POLICE DEPT,"LIGHT SET,GENERAL ILLUMINATION",14,4/16/14,"$12,999.98 "
BELMAR POLICE DEPT,"CHAIR, UPHOLSTERED",1,4/16/14,$50.00 
BELMAR POLICE DEPT,"GENERATOR SET,DIESEL ENGINE",6,4/16/14,"$76,786.20 "
BELMAR POLICE DEPT,"TRAILER,TANK",1,4/16/14,"$7,787.00 "
BELMAR POLICE DEPT,"TRUCK,DUMP",1,4/16/14,"$72,425.00 "
BELMAR POLICE DEPT,"TRUCK,DUMP",1,4/16/14,"$72,425.00 "
BELMAR POLICE DEPT,"CHAIR, UPHOLSTERED",37,4/16/14,"$4,625.00 "
BELMAR POLICE DEPT,"SAFETY GLASSES,REVISION SAWFLY EYEWEAR SYSTEM,REGULAR",37,4/16/14,"$2,065.34 "
BELMAR POLICE DEPT,"TRAILER,CARGO",2,4/16/14,"$17,048.00 "
BELMAR POLICE DEPT,"TRACTOR,WHEELED,INDUSTRIAL",1,4/16/14,"$110,000.00 "
BELMAR POLICE DEPT,TRUCK TRACTOR,1,4/16/14,"$138,870.00 "
BELMAR POLICE DEPT,"PUMPING ASSEMBLY,FLAMMABLE LIQUID,BULK TRANSFER",4,4/16/14,"$52,376.00 "
BELMAR POLICE DEPT,FLAT PANEL MONITOR,85,1/24/14,"$19,125.00 "
BELMAR POLICE DEPT,"KNIFE,COMBAT,WITH SHEATH",100,1/24/14,"$3,579.00 "
BELMAR POLICE DEPT,"TRAILER,FLAT BED",1,7/21/14,"$14,423.00 "
BELMAR POLICE DEPT,BATTERY CHARGER,4,7/21/14,"$3,120.00 "
BELMAR POLICE DEPT,BATTERY CHARGER,25,7/21/14,"$3,750.00 "
BELMAR POLICE DEPT,"SHELTER,NONEXPANDABLE",1,7/21/14,"$13,262.00 "
BELMAR POLICE DEPT,HANDSET,29,7/21/14,"$4,640.00 "
BELMAR POLICE DEPT,"RADIO, NON-AIRBORNE",34,7/21/14,"$92,242.00 "
BELMAR POLICE DEPT,"TRUCK,LIFT,FORK",1,7/21/14,"$72,370.00 "
BELMAR POLICE DEPT,"KITCHEN,FIELD,TRAILER MOUNTED",1,7/21/14,"$145,000.00 "
BELMAR POLICE DEPT,"CAMERA  SYSTEM,RECONNAISSANCE",2,7/21/14,"$10,294.90 "
BELMAR POLICE DEPT,"CAMERA  SYSTEM,RECONNAISSANCE",1,7/21/14,"$8,450.00 "
BELMAR POLICE DEPT,"CAMERA  SYSTEM,RECONNAISSANCE",1,7/21/14,"$8,450.00 "
BELMAR POLICE DEPT,"EXTINGUISHER,FIRE",100,7/24/14,"$14,139.00 "
BELMAR POLICE DEPT,TRAILER,1,7/21/14,"$7,489.00 "
BELMAR POLICE DEPT,"RADIO, NON-AIRBORNE",10,7/21/14,"$36,583.40 "
BELMAR POLICE DEPT,FILE CABINET,3,8/6/14,$375.00 
BELMAR POLICE DEPT,FILE CABINET,6,8/6/14,$750.00 
BELMAR POLICE DEPT,"CHAIR, OFFICE",30,8/5/14,"$2,250.00 "
BELMAR POLICE DEPT,"TOOL KIT,CARPENTER'S",1,8/6/14,"$8,116.10 "
BELMAR POLICE DEPT,"SETS, KITS, AND OUTFITS OF HAND TOOLS",1,8/5/14,$500.00 
BELMAR POLICE DEPT,REFRIGERATOR,1,8/6/14,$300.00 
BELMAR POLICE DEPT,"TRUCK,VAN",1,8/5/14,"$33,082.00 "
BELMAR POLICE DEPT,SMALL FIELD REFRIGERATION SYSTEM,1,9/3/14,"$23,250.00 "
BELMAR POLICE DEPT,"TOOL SET,SATS,MOD 1",1,8/5/14,"$29,916.20 "
BELMAR POLICE DEPT,SIGN PAINTING SET,1,8/5/14,$292.95 
BELMAR POLICE DEPT,"TOOL KIT,CARPENTER'S",1,8/5/14,"$1,252.00 "
BELMAR POLICE DEPT,"BLANKET,BED",32,8/6/14,"$1,127.36 "
BELMAR POLICE DEPT,"TOOL KIT,CARPENTER'S",2,8/5/14,"$6,051.36 "
BELMAR POLICE DEPT,"SHOP EQUIPMENT,AUTOMOTIVE VEHICLE",1,8/5/14,"$29,395.00 "
BELMAR POLICE DEPT,TRUCK TRACTOR,1,8/6/14,"$70,832.00 "
BELMAR POLICE DEPT,KITCHEN HAND TOOLS AND UTENSILS,1,9/24/14,$11.00 
BELMAR POLICE DEPT,"OUTERWEAR, MEN'S",100,9/3/14,"$10,000.00 "
BELMAR POLICE DEPT,"FAX MACHINE, DIGITAL",1,9/3/14,$300.00 
BELMAR POLICE DEPT,"TRUCK,UTILITY",1,9/5/14,"$32,990.00 "
BELMAR POLICE DEPT,"FORKLIFT,ROUGH TERR",1,9/29/14,"$43,250.00 "
BELMAR POLICE DEPT,"BUILDING COMPONENTS, PREFABRICATED",111,9/4/14,"$1,110.00 "
BELMAR POLICE DEPT,"VEHICLE,ALL-TERRAIN",4,9/3/14,"$21,354.36 "
BELMAR POLICE DEPT,"COMPUTER SYSTEM,DIGITAL",1,9/29/14,"$5,658.00 "
BELMAR POLICE DEPT,"COMPUTER SYSTEM,DIGITAL",1,9/29/14,"$5,658.00 "
BELMAR POLICE DEPT,"COMPUTER SYSTEM,DIGITAL",1,9/29/14,"$5,658.00 "
BELMAR POLICE DEPT,"COMPUTER SYSTEM,DIGITAL",1,9/29/14,"$5,658.00 "
BELMAR POLICE DEPT,"COMPUTER SYSTEM,DIGITAL",1,9/29/14,"$5,658.00 "
BELMAR POLICE DEPT,"COMPUTER SYSTEM,DIGITAL",1,9/29/14,"$5,658.00 "
BELMAR POLICE DEPT,"COMPUTER SYSTEM,DIGITAL",1,9/29/14,"$5,658.00 "
BELMAR POLICE DEPT,"COMPUTER SYSTEM,DIGITAL",1,9/29/14,"$5,658.00 "
BELMAR POLICE DEPT,"COMPUTER SYSTEM,DIGITAL",1,9/29/14,"$5,658.00 "
BELMAR POLICE DEPT,"COMPUTER SYSTEM,DIGITAL",1,9/29/14,"$5,658.00 "
BELMAR POLICE DEPT,"COMPUTER SYSTEM,DIGITAL",1,9/29/14,"$5,658.00 "
BELMAR POLICE DEPT,"COMPUTER SYSTEM,DIGITAL",1,9/27/14,"$5,658.00 "
BELMAR POLICE DEPT,"COMPUTER SYSTEM,DIGITAL",1,9/29/14,"$5,658.00 "
BELMAR POLICE DEPT,"COMPUTER SYSTEM,DIGITAL",1,9/29/14,"$5,658.00 "
BELMAR POLICE DEPT,"COMPUTER SYSTEM,DIGITAL",1,9/29/14,"$5,658.00 "
BELMAR POLICE DEPT,"COMPUTER SYSTEM,DIGITAL",1,9/29/14,"$5,658.00 "
BELMAR POLICE DEPT,"COMPUTER SYSTEM,DIGITAL",1,9/29/14,"$5,658.00 "
BELMAR POLICE DEPT,"COMPUTER SYSTEM,DIGITAL",1,9/29/14,"$5,658.00 "
BELMAR POLICE DEPT,"COMPUTER SYSTEM,DIGITAL",1,9/29/14,"$5,658.00 "
BELMAR POLICE DEPT,"COMPUTER SYSTEM,DIGITAL",1,9/29/14,"$5,658.00 "
BELMAR POLICE DEPT,"COMPUTER SYSTEM,DIGITAL",1,9/29/14,"$5,658.00 "
BELMAR POLICE DEPT,SNOW BLOWER,1,9/24/14,$200.00 
BELMAR POLICE DEPT,"GAS ENGINES, EXCEPT AIRCRAFT",1,9/24/14,"$1,500.00 "
BELMAR POLICE DEPT,"MATERIAL HANDLING EQUIP, NONSELF-PROPEL",1,9/24/14,"$7,900.00 "
BELMAR POLICE DEPT,"OUTERWEAR, MEN'S",100,9/24/14,"$10,000.00 "
BELMAR POLICE DEPT,"GENERATORS AND GEN SETS, DEMIL Q",1,9/25/14,$985.00 
BELMAR POLICE DEPT,"GENERATORS AND GEN SETS, DEMIL Q",4,9/25/14,"$3,940.00 "
BELMAR POLICE DEPT,MODERN BURNER UNIT V3,6,9/25/14,"$25,369.26 "
BELMAR POLICE DEPT,"TOOL KIT,ELECTRONIC",2,9/25/14,"$1,106.00 "
BELMAR POLICE DEPT,REFRIGERATOR,1,9/25/14,"$2,465.49 "
BELMAR POLICE DEPT,TRAY RATIO HEATER,4,9/25/14,"$44,495.28 "
BELMAR POLICE DEPT,FOOD SANITATION CENTER,1,9/25/14,"$33,865.31 "
BELMAR POLICE DEPT,HEADLIGHT,75,9/25/14,"$21,636.75 "
BELMAR POLICE DEPT,"HAND TOOLS, NONEDGED, NONPOWERED",1,9/25/14,"$5,000.00 "
BELMAR POLICE DEPT,"CAMERA, DIGITAL",9,9/25/14,$450.00 
BELMAR POLICE DEPT,"BODY,CAMERA,STILL PICTURE",2,9/25/14,"$14,517.24 "
BELMAR POLICE DEPT,"RESUSCITATION  KIT,MOUTH-TO-MASK,ORONASAL",1,9/25/14,"$2,604.42 "
BELMAR POLICE DEPT,"WIRE,ELECTRICAL",325,9/25/14,$97.50 
BELMAR POLICE DEPT,"WIRE,ELECTRICAL",500,9/25/14,$250.00 
BELMAR POLICE DEPT,"CAMERA, STILL PICTURE",3,9/25/14,"$2,099.97 "
BELMAR POLICE DEPT,"REFRIGERATION UNIT,MECHANICAL",2,9/25/14,"$15,110.00 "
BELMAR POLICE DEPT,KITCHEN EQUIPMENT AND APPLIANCES,1,9/25/14,$500.00 
BELMAR POLICE DEPT,RECREATIONAL AND GYMNASTIC EQUIPMENT,1,9/25/14,"$2,124.00 "
BELMAR POLICE DEPT,RECREATIONAL AND GYMNASTIC EQUIPMENT,1,9/25/14,"$4,549.00 "
BELMAR POLICE DEPT,RECREATIONAL AND GYMNASTIC EQUIPMENT,1,9/25/14,"$1,918.00 "
BELMAR POLICE DEPT,RECREATIONAL AND GYMNASTIC EQUIPMENT,1,9/29/14,"$3,449.00 "
BELMAR POLICE DEPT,RECREATIONAL AND GYMNASTIC EQUIPMENT,1,9/29/14,"$2,061.00 "
BELMAR POLICE DEPT,RECREATIONAL AND GYMNASTIC EQUIPMENT,1,9/29/14,"$1,903.00 "
BELMAR POLICE DEPT,RECREATIONAL AND GYMNASTIC EQUIPMENT,1,9/29/14,"$3,199.00 "
BELMAR POLICE DEPT,"WINCH,DRUM,POWER  OPERATED",1,9/29/14,"$5,194.59 "
BELMAR POLICE DEPT,"SHOP EQUIPMENT,SMALL ARMS",1,9/25/14,"$18,475.00 "
BELMAR POLICE DEPT,RECREATIONAL AND GYMNASTIC EQUIPMENT,1,10/16/14,"$1,500.00 "
BELMAR POLICE DEPT,RECREATIONAL AND GYMNASTIC EQUIPMENT,1,10/16/14,"$1,500.00 "
BELMAR POLICE DEPT,"WINCHES, HOISTS, CRANES, AND DERRICKS",2,10/16/14,"$4,133.02 "
BELMAR POLICE DEPT,"SHEARING  MACHINE,METAL,SQUARING",1,10/16/14,$62.02 
BELMAR POLICE DEPT,"FENCING, FENCES, GATES AND COMPONENTS",45,10/17/14,"$9,000.00 "
BELMAR POLICE DEPT,"SHIPPING AND STORAGE CONTAINER,MISCELLANEOUS EQUIPMENT",8,10/17/14,$658.16 
BELMAR POLICE DEPT,"DRILLING MACHINE,UPRIGHT",2,10/16/14,"$1,675.04 "
BELMAR POLICE DEPT,SAWS AND FILING MACHINES,1,10/17/14,"$5,000.00 "
BELMAR POLICE DEPT,"LOADER,SCOOP TYPE",1,10/31/14,"$58,890.00 "
BERGEN COUNTY SHERIFF DEPT,"FIELD PACK,LARGE,SET",10,9/22/14,"$2,632.50 "
BERGEN COUNTY SHERIFF DEPT,"SPECTACLE KIT,INTERCHANGABLE COMPONENT EYESHIELD",32,11/3/14,"$1,675.20 "
BERGEN COUNTY SHERIFF DEPT,ASSAULT PACK,30,10/17/14,"$2,320.20 "
BERGEN COUNTY SHERIFF DEPT,"GOGGLES,BALLISTIC",25,11/3/14,"$1,218.00 "
BERGEN COUNTY SHERIFF DEPT,LAPTOP CASE,8,11/10/14,$0.00 
BERGEN COUNTY SHERIFF DEPT,VIDEO CONFERENCE SYSTEM,1,11/12/14,$0.00 
BERGEN COUNTY SHERIFF DEPT,"HEADSET,ELECTRICAL",1,11/12/14,"$1,484.00 "
BERGEN COUNTY SHERIFF DEPT,"KIT,360 LIGHT",1,8/4/14,"$11,639.00 "
BERGEN COUNTY SHERIFF DEPT,M79 GRENADE LAUNCHER,1,1/16/14,$720.00 
BERKELEY TOWNSHIP POLICE DEPT,"TRUCK,CARGO",1,8/29/14,"$72,040.00 "
BERKELEY TOWNSHIP POLICE DEPT,"TRUCK,UTILITY",1,9/1/14,"$47,023.00 "
BERKELEY TOWNSHIP POLICE DEPT,"TRUCK,UTILITY",1,9/1/14,"$41,061.00 "
BERKELEY TOWNSHIP POLICE DEPT,"TRUCK,UTILITY",1,9/1/14,"$47,023.00 "
BERKELEY TOWNSHIP POLICE DEPT,SHACKLE,25,10/8/14,$571.25 
BERKELEY TOWNSHIP POLICE DEPT,"WRENCH,OPEN END",2,9/24/14,$76.44 
BERKELEY TOWNSHIP POLICE DEPT,"CONTAINER,AMMUNITION",20,9/24/14,$740.00 
BERKELEY TOWNSHIP POLICE DEPT,"LIGHT,SURGICAL,FIELD",1,9/24/14,"$11,278.40 "
BERKELEY TOWNSHIP POLICE DEPT,"CHEST,AMMUNITION",75,9/24/14,$291.00 
BERKELEY TOWNSHIP POLICE DEPT,"TRUCK,LIFT,FORK",1,10/2/14,"$72,370.00 "
BERKELEY TOWNSHIP POLICE DEPT,"CHOCK,WHEEL-TRACK",6,11/5/14,$147.06 
BERKELEY TOWNSHIP POLICE DEPT,LEFTHAND DRIVE BELT,1,11/5/14,$143.00 
BERKELEY TOWNSHIP POLICE DEPT,"BELT,POSITIVE DRIVE",2,10/24/14,$25.86 
BERKELEY TOWNSHIP POLICE DEPT,RIGHTHAND DRIVEBELT,1,11/5/14,$133.00 
BERKELEY TOWNSHIP POLICE DEPT,"BELT,V",10,11/4/14,$586.60 
BERKELEY TOWNSHIP POLICE DEPT,M16 ASSAULT RIFLE,1,11/12/13,$499.00 
