agency,county,item,quantity,date_received,total_cost
BELLEVILLE POLICE DEPT,ESSEX,"TRUCK,CARGO",1,10/22/14,"$67,139.00 "
BELLEVILLE POLICE DEPT,ESSEX,"TRUCK,VAN",1,10/22/14,"$111,395.00 "
BELLEVILLE POLICE DEPT,ESSEX,"TRUCK,CARGO",1,9/27/11,"$56,832.00 "
BELLEVILLE POLICE DEPT,ESSEX,"TRUCK,CARGO",1,9/27/11,"$56,832.00 "
BELLEVILLE POLICE DEPT,ESSEX,M14 ASSAULT RIFLE,1,4/15/14,$138.00 
BELLEVILLE POLICE DEPT,ESSEX,M14 ASSAULT RIFLE,1,4/15/14,$138.00 
BELLEVILLE POLICE DEPT,ESSEX,M14 ASSAULT RIFLE,1,4/15/14,$138.00 
BELLEVILLE POLICE DEPT,ESSEX,M14 ASSAULT RIFLE,1,4/17/14,$138.00 
BELLEVILLE POLICE DEPT,ESSEX,M14 ASSAULT RIFLE,1,4/15/14,$138.00 
BELLEVILLE POLICE DEPT,ESSEX,M14 ASSAULT RIFLE,1,4/15/14,$138.00 
BELLEVILLE POLICE DEPT,ESSEX,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
BELLEVILLE POLICE DEPT,ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,ESSEX,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
BELLEVILLE POLICE DEPT,ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,ESSEX,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
BELLEVILLE POLICE DEPT,ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELMAR POLICE DEPT,MONMOUTH,"INSTALLATION KIT,ELECTRONIC EQUIPMENT",1,8/7/14,"$21,518.00 "
BELMAR POLICE DEPT,MONMOUTH,"TRUCK,UTILITY",1,4/18/14,"$41,061.00 "
BELMAR POLICE DEPT,MONMOUTH,"TRUCK,UTILITY",1,4/18/14,"$41,061.00 "
BELMAR POLICE DEPT,MONMOUTH,"TRUCK,UTILITY",1,4/18/14,"$41,061.00 "
BELMAR POLICE DEPT,MONMOUTH,"TRUCK,UTILITY",1,4/18/14,"$41,061.00 "
BELMAR POLICE DEPT,MONMOUTH,"POWER PLANT,ELECTRIC,TRAILER MOUNTED",1,4/16/14,"$33,085.00 "
BELMAR POLICE DEPT,MONMOUTH,"TRUCK,UTILITY",1,1/29/14,"$50,458.00 "
BELMAR POLICE DEPT,MONMOUTH,"TRUCK,UTILITY",1,1/29/14,"$50,458.00 "
BELMAR POLICE DEPT,MONMOUTH,"TRUCK,UTILITY",1,4/18/14,"$41,061.00 "
BELMAR POLICE DEPT,MONMOUTH,"TRUCK,UTILITY",1,4/18/14,"$41,061.00 "
BELMAR POLICE DEPT,MONMOUTH,CONVENIENCE OUTLET ASSEMBLY,64,4/16/14,"$21,344.00 "
BELMAR POLICE DEPT,MONMOUTH,ELECTRIC RESISTANCE WELDING EQUIPMENT,1,4/16/14,"$1,379.00 "
BELMAR POLICE DEPT,MONMOUTH,"SAW, POWER",1,4/16/14,"$2,500.00 "
BELMAR POLICE DEPT,MONMOUTH,TRUCK TRACTOR,1,4/16/14,"$86,203.00 "
BELMAR POLICE DEPT,MONMOUTH,"TRUCK,CARGO",2,4/16/14,"$144,080.00 "
BELMAR POLICE DEPT,MONMOUTH,"TRUCK,CARGO",2,4/16/14,"$134,278.00 "
BELMAR POLICE DEPT,MONMOUTH,TRUCK TRACTOR,1,4/16/14,"$86,203.00 "
BELMAR POLICE DEPT,MONMOUTH,"TRUCK,VAN",1,4/16/14,"$135,122.00 "
