agency,county,item,quantity,date_received,total_cost
NJ STATE POLICE TRENTON,MERCER,ELLIPTICAL,1,10/24/14,$0.00 
NJ STATE POLICE TRENTON,MERCER,ELLIPTICAL,1,10/24/14,$0.00 
NJ STATE POLICE TRENTON,MERCER,RECREATIONAL AND GYMNASTIC EQUIPMENT,1,10/27/14,$0.00 
NJ STATE POLICE TRENTON,MERCER,"SPECTACLE,COMBO PACK,UVEX",50,11/4/14,"$2,058.50 "
NJ STATE POLICE TRENTON,MERCER,DUMBELL,1,11/4/14,$0.00 
NJ STATE POLICE TRENTON,MERCER,"CABLE  ASSEMBLY,POWER,ELECTRICAL",1,10/29/14,$326.54 
NJ STATE POLICE TRENTON,MERCER,"VIEWER,NIGHT VISION",2,11/3/14,"$20,854.20 "
NJ STATE POLICE TRENTON,MERCER,"VIEWER KIT,NIGHT VISION",6,11/3/14,"$15,688.80 "
NJ STATE POLICE TRENTON,MERCER,"LENS,OPTICAL  INSTRUMENT,MOUNTED",6,11/3/14,"$5,787.48 "
NJ STATE POLICE TRENTON,MERCER,"LENS,OPTICAL  INSTRUMENT,MOUNTED",6,11/7/14,"$16,751.46 "
NJ STATE POLICE TRENTON,MERCER,"DEPLOYMENT KIT,RADIO FREQUENCY IDENTIFICATION",2,7/28/14,"$37,816.00 "
NJ STATE POLICE TRENTON,MERCER,"CAMERA  SYSTEM,RECONNAISSANCE",1,7/28/14,"$5,147.45 "
NJ STATE POLICE TRENTON,MERCER,"BICYCLE, EXERCISE",1,9/26/14,$809.00 
NJ STATE POLICE TRENTON,MERCER,EMERG DECON SHELTER,1,10/31/14,"$9,868.75 "
NJ STATE POLICE TRENTON,MERCER,BINOCULAR,1,10/30/14,"$6,859.20 "
NJ STATE POLICE TRENTON,MERCER,BINOCULAR,1,10/30/14,"$6,859.20 "
NJ STATE POLICE TRENTON,MERCER,BINOCULAR,1,10/30/14,"$6,859.20 "
NJ STATE POLICE TRENTON,MERCER,BINOCULAR,1,10/30/14,"$6,859.20 "
NJ STATE POLICE TRENTON,MERCER,BINOCULAR,1,10/30/14,"$6,859.20 "
NJ STATE POLICE TRENTON,MERCER,BINOCULAR,1,10/30/14,"$6,859.20 "
NJ STATE POLICE TRENTON,MERCER,BINOCULAR,1,10/30/14,"$6,859.20 "
NJ STATE POLICE TRENTON,MERCER,BINOCULAR,1,10/30/14,"$6,859.20 "
NJ STATE POLICE-FIELD OPS SECTION,MERCER,"BANDAGE,GAUZE",200,9/10/14,$716.00 
NJ STATE POLICE-FIELD OPS SECTION,MERCER,"TRUCK,UTILITY",1,8/22/14,"$50,458.00 "
NJ STATE POLICE-FIELD OPS SECTION,MERCER,"TRUCK,UTILITY",1,8/22/14,"$41,061.00 "
NJ STATE POLICE-FIELD OPS SECTION,MERCER,"TRUCK,UTILITY",1,8/22/14,"$50,458.00 "
NJ STATE POLICE-FIELD OPS SECTION,MERCER,"TRUCK,UTILITY",1,8/22/14,"$41,061.00 "
NJ STATE POLICE-FIELD OPS SECTION,MERCER,ELLIPTICAL,1,10/1/14,"$2,199.00 "
NJ STATE POLICE-FIELD OPS SECTION,MERCER,ATHLETIC AND SPORTING EQUIPMENT,2,10/1/14,$200.00 
NJ STATE POLICE-FIELD OPS SECTION,MERCER,BINOCULAR,2,10/1/14,$288.14 
NJ STATE POLICE-FIELD OPS SECTION,MERCER,"HOOK,TOW",3,10/9/14,"$2,048.58 "
NJ STATE POLICE-FIELD OPS SECTION,MERCER,"BLANKET,SURVIVAL",80,10/14/14,$767.20 
NJ STATE POLICE-FIELD OPS SECTION,MERCER,"CABLE  ASSEMBLY,POWER,ELECTRICAL",1,1/30/14,$283.72 
NJ STATE POLICE-FIELD OPS SECTION,MERCER,GYM,1,11/10/14,$0.00 
NJ STATE POLICE-FIELD OPS SECTION,MERCER,RECREATIONAL AND GYMNASTIC EQUIPMENT,1,11/10/14,$0.00 
NJ STATE POLICE-FIELD OPS SECTION,MERCER,TREADMILL,1,11/10/14,$0.00 
NJ STATE POLICE-FIELD OPS SECTION,MERCER,"SHIRT,COLD WEATHER",11,11/5/14,$662.75 
NJ STATE POLICE-FIELD OPS SECTION,MERCER,"SHIRT,COLD WEATHER",8,10/28/14,$482.00 
NORTH WILDWOOD POLICE DEPT,CAPE MAY,"TRUCK,UTILITY",1,4/11/14,"$41,061.00 "
NORTH WILDWOOD POLICE DEPT,CAPE MAY,"TRUCK,UTILITY",1,4/11/14,"$41,061.00 "
NORTH WILDWOOD POLICE DEPT,CAPE MAY,"TRUCK,DUMP",1,11/3/14,"$92,489.00 "
NORTH WILDWOOD POLICE DEPT,CAPE MAY,"CONTAINER,AMMUNITION",1,11/3/14,$37.00 
NORTH WILDWOOD POLICE DEPT,CAPE MAY,"SHIPPING AND STORAGE CONTAINER,CARTRIDGE",1,11/3/14,$31.65 
NORTH WILDWOOD POLICE DEPT,CAPE MAY,"TRAILER,FLAT BED",1,11/3/14,"$14,423.00 "
NORTH WILDWOOD POLICE DEPT,CAPE MAY,"TRUCK,UTILITY",1,4/11/14,"$41,061.00 "
NORTH WILDWOOD POLICE DEPT,CAPE MAY,"TRUCK,UTILITY",1,4/11/14,"$47,023.00 "
NORTH WILDWOOD POLICE DEPT,CAPE MAY,"TRUCK,UTILITY",1,4/11/14,"$47,023.00 "
NORTH WILDWOOD POLICE DEPT,CAPE MAY,"TRUCK,UTILITY",1,4/11/14,"$41,061.00 "
NORTH WILDWOOD POLICE DEPT,CAPE MAY,"TRUCK,UTILITY",1,4/11/14,"$63,682.00 "
NORTH WILDWOOD POLICE DEPT,CAPE MAY,"TRUCK,UTILITY",1,4/11/14,"$63,682.00 "
NORTH WILDWOOD POLICE DEPT,CAPE MAY,"TRUCK,UTILITY",1,4/11/14,"$50,458.00 "
NORTH WILDWOOD POLICE DEPT,CAPE MAY,"TRUCK,UTILITY",1,4/11/14,"$56,762.00 "
OCEAN GATE POLICE DEPT,OCEAN,"TRUCK,UTILITY",1,11/10/14,"$41,061.00 "
OCEAN GATE POLICE DEPT,OCEAN,"TRUCK,UTILITY",1,11/10/14,"$41,061.00 "
OCEAN TOWNSHIP POLICE DEPT,OCEAN,"GENERATOR SET,DIESEL ENGINE",1,6/5/14,"$4,491.00 "
OCEAN TOWNSHIP POLICE DEPT,OCEAN,"JACK,DOLLY  TYPE,HYDRAULIC",1,6/5/14,"$1,825.00 "
OCEAN TOWNSHIP POLICE DEPT,OCEAN,PREFABRICATED TOWER STRUCTURES,1,6/5/14,"$31,767.00 "
OCEAN TOWNSHIP POLICE DEPT,OCEAN,"TRUCK,CARGO",1,6/5/14,"$75,278.00 "
OCEAN TOWNSHIP POLICE DEPT,OCEAN,"TRUCK,UTILITY",1,6/6/14,"$49,897.00 "
OCEAN TOWNSHIP POLICE DEPT,OCEAN,"TRUCK,UTILITY",1,6/6/14,"$47,023.00 "
OCEAN TOWNSHIP POLICE DEPT,OCEAN,"TRUCK,UTILITY",1,6/9/14,"$49,897.00 "
OCEAN TOWNSHIP POLICE DEPT,OCEAN,"TRUCK, UTILITY",1,,"$41,061.00 "
OCEANPORT POLICE DEPT,MONMOUTH,"TRUCK,CARGO",1,8/29/14,"$72,040.00 "
OCEANPORT POLICE DEPT,MONMOUTH,"TRUCK,CARGO",1,8/29/14,"$72,040.00 "
OLD TAPPAN POLICE DEPT,BERGEN,M14 ASSAULT RIFLE,1,4/11/14,$138.00 
OLD TAPPAN POLICE DEPT,BERGEN,M14 ASSAULT RIFLE,1,4/11/14,$138.00 
OLD TAPPAN POLICE DEPT,BERGEN,M16 ASSAULT RIFLE,1,4/11/14,$499.00 
OLD TAPPAN POLICE DEPT,BERGEN,M16 ASSAULT RIFLE,1,4/11/14,$499.00 
PARAMUS POLICE DEPT,BERGEN,"SIGHT,REAR",2,8/26/14,$118.20 
PARAMUS POLICE DEPT,BERGEN,"SIGHT,REFLEX",5,8/26/14,"$1,700.00 "
PARAMUS POLICE DEPT,BERGEN,"SIGHT,REFLEX",5,8/26/14,"$1,700.00 "
PARAMUS POLICE DEPT,BERGEN,"SAFETY GLASSES,REVISION SAWFLY EYEWEAR SYSTEM,REGULAR",20,8/26/14,"$1,116.40 "
PARAMUS POLICE DEPT,BERGEN,"GOGGLES,INDUSTRIAL",11,8/26/14,$694.87 
PARAMUS POLICE DEPT,BERGEN,"UNDERSHIRT,COLD  WEATHER",15,8/26/14,$139.95 
PARAMUS POLICE DEPT,BERGEN,"UNDERSHIRT,COLD  WEATHER",15,8/26/14,$214.50 
PARAMUS POLICE DEPT,BERGEN,"POUCH,INDIVIDUAL FIRST AID KIT",25,8/26/14,$530.50 
PARAMUS POLICE DEPT,BERGEN,"DRESSING,CHEST SEAL WOUND",40,8/26/14,"$8,319.20 "
PARAMUS POLICE DEPT,BERGEN,"SHIRT,COLD WEATHER",5,8/26/14,$301.25 
PARAMUS POLICE DEPT,BERGEN,"SHIRT,COLD WEATHER",10,8/26/14,$602.50 
PARAMUS POLICE DEPT,BERGEN,ASSAULT PACK,2,8/26/14,$179.94 
PARAMUS POLICE DEPT,BERGEN,"SHIRT,COLD WEATHER",4,8/26/14,$241.00 
PARAMUS POLICE DEPT,BERGEN,"HOOD,COLD WEATHER",25,9/24/14,$233.50 
PARAMUS POLICE DEPT,BERGEN,"KIT BAG,FLYER'S",2,9/24/14,$60.22 
PARAMUS POLICE DEPT,BERGEN,ASSAULT PACK,2,9/24/14,$179.94 
PARAMUS POLICE DEPT,BERGEN,"COVERALLS,UTILITY",5,9/17/14,$148.45 
PARAMUS POLICE DEPT,BERGEN,"COVERALLS,FLYERS'",5,9/17/14,$651.55 
PARAMUS POLICE DEPT,BERGEN,"BRUSH,CLEANING,SMALL  ARMS",20,9/24/14,$9.40 
PARAMUS POLICE DEPT,BERGEN,"BRUSH,CLEANING,SMALL  ARMS",15,9/24/14,$7.05 
PARAMUS POLICE DEPT,BERGEN,"BRUSH,CLEANING,SMALL  ARMS",20,9/24/14,$16.20 
PARAMUS POLICE DEPT,BERGEN,"SCREWDRIVER,FLAT TIP",3,10/2/14,$25.41 
PARAMUS POLICE DEPT,BERGEN,"PLIERS,SLIP JOINT",4,10/2/14,$57.72 
PARAMUS POLICE DEPT,BERGEN,"WRENCH,ADJUSTABLE",4,10/2/14,$63.12 
PARAMUS POLICE DEPT,BERGEN,"JUMPER CABLE,BATTERY",3,10/2/14,$393.63 
PARAMUS POLICE DEPT,BERGEN,"SCREWDRIVER,CROSS  TIP",4,10/2/14,$31.00 
PARAMUS POLICE DEPT,BERGEN,"SCREWDRIVER,CROSS  TIP",4,10/2/14,$13.76 
PARAMUS POLICE DEPT,BERGEN,"SCREWDRIVER,FLAT TIP",4,10/2/14,$32.28 
PARAMUS POLICE DEPT,BERGEN,"SPILL CLEAN-UP KIT,HAZARDOUS MATERIAL",1,9/26/14,$65.10 
PARAMUS POLICE DEPT,BERGEN,"SPILL CLEAN-UP KIT,HAZARDOUS MATERIAL",1,9/26/14,$65.10 
PARAMUS POLICE DEPT,BERGEN,"BANDAGE,GAUZE",20,9/26/14,$281.40 
PARAMUS POLICE DEPT,BERGEN,"DRESSING,FIRST AID,FIELD",50,10/2/14,$179.50 
PARAMUS POLICE DEPT,BERGEN,"RESCUE AND TRANSPORT SYSTEM,PATIENT",2,10/8/14,"$1,412.06 "
PARAMUS POLICE DEPT,BERGEN,"TOOL KIT,ELECTRONIC SYSTEM",1,10/21/14,$630.00 
PARAMUS POLICE DEPT,BERGEN,KNEE AND ELBOW PAD SYSTEM,5,10/21/14,$139.90 
PARAMUS POLICE DEPT,BERGEN,"TOOL KIT,PERSONAL COMPUTER",1,10/21/14,$155.44 
PARAMUS POLICE DEPT,BERGEN,"SHIRT,COLD WEATHER",2,10/21/14,$120.50 
PARAMUS POLICE DEPT,BERGEN,"GLOVES,COMBAT",15,10/21/14,$0.00 
PARAMUS POLICE DEPT,BERGEN,FLASHLIGHT,1,10/21/14,$201.29 
PARAMUS POLICE DEPT,BERGEN,"TOOL KIT,GENERAL MECHANIC'S",1,10/17/14,$289.00 
PARAMUS POLICE DEPT,BERGEN,BINOCULARS,2,10/21/14,"$1,000.00 "
PARAMUS POLICE DEPT,BERGEN,"SIGHT,REFLEX",1,10/21/14,$331.00 
PARAMUS POLICE DEPT,BERGEN,"SPECTACLES,INDUSTRIAL",10,10/16/14,$480.00 
PARAMUS POLICE DEPT,BERGEN,PADLOCK SET,1,10/29/14,$57.00 
PARAMUS POLICE DEPT,BERGEN,"SAFETY GLASSES,REVISION SAWFLY EYEWEAR SYSTEM,LARGE",10,11/7/14,$529.90 
PARAMUS POLICE DEPT,BERGEN,ASSAULT PACK,7,11/7/14,$541.38 
PARAMUS POLICE DEPT,BERGEN,"TOOL KIT,GENERAL MECHANIC'S",1,11/7/14,"$2,484.00 "
PARAMUS POLICE DEPT,BERGEN,"DRAWERS,COLD  WEATHER",2,11/7/14,$27.98 
PARAMUS POLICE DEPT,BERGEN,"KIT,DUAL,COM,LF,RG",2,11/7/14,"$2,348.40 "
PARAMUS POLICE DEPT,BERGEN,"BAG,TOOL",5,11/10/14,$114.20 
PARAMUS POLICE DEPT,BERGEN,FLASHLIGHT,15,11/10/14,$138.75 
PARAMUS POLICE DEPT,BERGEN,"CAMERA, DIGITAL",2,11/10/14,$0.00 
PARAMUS POLICE DEPT,BERGEN,"PACK,MEDICAL SUPPLY",1,11/10/14,$232.99 
PARAMUS POLICE DEPT,BERGEN,"JACK,HYDRAULIC,HAND",2,11/1/14,$361.82 
PARAMUS POLICE DEPT,BERGEN,"FACESHIELD,INDUSTRIAL",5,11/10/14,$555.30 
PARAMUS POLICE DEPT,BERGEN,"BANDAGE,GAUZE",20,11/10/14,$167.00 
PARAMUS POLICE DEPT,BERGEN,"JUMPER CABLE,BATTERY",4,11/7/14,$196.64 
PARAMUS POLICE DEPT,BERGEN,"MOULAGE,WAR WOUND",4,11/10/14,$120.08 
PARAMUS POLICE DEPT,BERGEN,"TELESCOPE,NON-INVERTING  INFRARED",2,11/10/14,"$6,084.00 "
PASSAIC COUNTY PROSECUTORS OFFIC,PASSAIC,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
PASSAIC COUNTY PROSECUTORS OFFIC,PASSAIC,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
PASSAIC COUNTY PROSECUTORS OFFIC,PASSAIC,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
PASSAIC COUNTY PROSECUTORS OFFIC,PASSAIC,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
PASSAIC COUNTY PROSECUTORS OFFIC,PASSAIC,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
PASSAIC COUNTY PROSECUTORS OFFIC,PASSAIC,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
PASSAIC COUNTY PROSECUTORS OFFIC,PASSAIC,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
PASSAIC COUNTY PROSECUTORS OFFIC,PASSAIC,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
PASSAIC COUNTY PROSECUTORS OFFIC,PASSAIC,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
PASSAIC COUNTY PROSECUTORS OFFIC,PASSAIC,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
PASSAIC COUNTY PROSECUTORS OFFIC,PASSAIC,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
PASSAIC COUNTY PROSECUTORS OFFIC,PASSAIC,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
PASSAIC COUNTY PROSECUTORS OFFIC,PASSAIC,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
PASSAIC COUNTY PROSECUTORS OFFIC,PASSAIC,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
PASSAIC COUNTY PROSECUTORS OFFIC,PASSAIC,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"TOOL KIT,GENERAL MECHANIC'S",2,8/12/14,"$3,610.00 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"GEAR,FIRE PROTECTIV",7,8/27/14,"$11,802.21 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"TRUCK,CARGO",1,9/5/14,"$128,076.00 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"TRUCK,CARGO",1,9/5/14,"$72,040.00 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"CHARGER,BATTERY",8,8/19/14,"$4,376.00 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,HEADLIGHT,12,8/19/14,"$1,169.28 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"CABLE  ASSEMBLY,POWER,ELECTRICAL",1,9/5/14,$283.72 
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"HAND TOOLS, NONEDGED, NONPOWERED",1,8/28/14,"$1,500.00 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"GEAR,FIRE PROTECTIV",8,8/28/14,"$12,319.44 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"GEAR,FIRE PROTECTIV",6,8/28/14,"$11,265.96 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,FIREMAN'S HELMET,6,8/28/14,"$1,655.16 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"TRUCK,UTILITY",1,9/3/14,"$47,023.00 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"TRUCK,UTILITY",1,9/5/14,"$50,458.00 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"CABINET, TOOL",1,9/16/14,$100.00 
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,ELECTRIC LIGHTING FIXTURES,11,9/16/14,"$1,650.00 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,TORQUEWRENCH,1,9/16/14,"$1,500.00 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,HEADLIGHT,12,9/16/14,"$3,461.88 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"SAW, POWER",1,9/16/14,$500.00 
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"GENERATOR SET,DIESEL ENGINE",1,9/16/14,"$4,491.00 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"TRUCK,UTILITY",1,9/3/14,"$41,061.00 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"TOOL KIT,SMALL ARMS",2,9/16/14,"$4,294.00 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"HAND TOOLS, NONEDGED, NONPOWERED",1,9/16/14,"$3,500.00 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"WRENCH,IMPACT,ELECTRIC",1,9/16/14,"$1,318.91 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"WRENCH,IMPACT,PNEUMATIC",1,9/16/14,"$1,318.91 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,NOZZLE,1,9/16/14,$50.00 
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"TOOL KIT,GENERAL MECHANIC'S",1,9/16/14,"$1,069.00 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"TOOL KIT,GENERAL MECHANIC'S",1,9/16/14,"$1,069.00 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"TOOL KIT,GENERAL MECHANIC'S",1,9/16/14,"$1,805.00 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,TOOLBOX,1,9/16/14,"$1,200.00 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,BATTERY CHARGER,5,9/16/14,"$7,500.00 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"TABLE,TREATMENT",2,9/8/14,"$1,026.60 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"TABLE,TREATMENT",2,9/8/14,"$1,026.60 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"CHAIR,DENTAL OPERATING",1,9/8/14,"$5,393.92 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"CHAIR,DENTAL OPERATING",1,9/8/14,"$5,393.92 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,HOSPITAL LIGHT,1,9/8/14,"$1,960.00 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"CHEST,AMMUNITION",150,9/8/14,"$1,665.00 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"SHIPPING AND STORAGE CONTAINER,CARTRIDGE",56,9/8/14,"$1,246.56 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,SHIPPING CASE,12,9/16/14,"$2,400.00 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"TRAILER,CARGO",1,9/16/14,"$3,894.00 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"TRUCK,UTILITY",1,9/18/14,"$41,061.00 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"GENERATOR SET,DIESEL ENGINE",1,9/17/14,"$10,700.00 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"CONTAINER,MEDICAL  SHELTER",2,9/16/14,"$5,132.76 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"TRUCK,UTILITY",1,9/18/14,"$41,061.00 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"TOOL KIT,GENERAL MECHANIC'S",1,9/24/14,"$1,805.00 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"HAND TOOLS, POWER DRIVEN",1,9/24/14,$559.00 
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,TOOLBOX,1,9/25/14,"$1,600.00 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,NOZZLE,1,9/25/14,$50.00 
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"LENS,LIGHT",4,9/25/14,$442.32 
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"LENS,LIGHT",4,9/25/14,$424.76 
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"LENS,LIGHT",4,9/25/14,$422.72 
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,ELECTRIC VEHICULAR LIGHTS AND FIXTURES,4,9/25/14,$557.84 
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,SEARCHLIGHT,6,9/25/14,$354.42 
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"POWER PUSHER,VEHICLE",1,9/25/14,"$4,741.31 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,TORQUEWRENCH,1,9/25/14,"$1,972.00 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"DRILL, POWER",1,9/25/14,"$1,200.00 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"TOOL KIT,AIRCRAFT MAINTENANCE",1,9/25/14,"$1,022.00 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"OUTERWEAR, MEN'S",75,9/25/14,"$1,875.00 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"FACESHIELD,MILITARY,RIOT  CONTROL",75,9/25/14,"$2,801.25 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,PALLET JACK,1,9/25/14,$50.00 
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,KITCHEN EQUIPMENT AND APPLIANCES,1,9/25/14,"$2,018.85 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"REFILL BLADE,WIPER",6,9/25/14,$82.74 
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,HEADLIGHT,12,10/3/14,"$5,798.40 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,HEADLIGHT,16,9/25/14,$984.32 
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"HOSE,NONMETALLIC",12,9/16/14,$49.08 
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"HOSE,NONMETALLIC",12,9/17/14,$6.12 
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"CLAMP,HOSE",12,9/25/14,$102.24 
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"HOSE,NONMETALLIC",12,9/25/14,$8.04 
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"HOSE,NONMETALLIC",12,10/3/14,$137.76 
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"HOSE,NONMETALLIC",12,9/25/14,$174.96 
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"SAW,CHAIN",1,9/25/14,"$1,104.48 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"HAND TOOLS, POWER DRIVEN",1,9/25/14,"$1,600.00 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"HAND TOOLS, POWER DRIVEN",1,9/25/14,"$1,500.00 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"DRILL, POWER",10,9/25/14,$599.90 
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"GRILLE,RADIATOR,VEHICULAR",5,9/16/14,$692.50 
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"SEAT,VEHICULAR",2,9/16/14,$782.48 
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"SEAT,VEHICULAR",2,9/16/14,"$2,072.62 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"GUARD,GRILLE",2,9/25/14,"$1,352.80 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"COVER,FITTED,VEHICULAR BODY",2,9/25/14,"$1,129.60 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"ARM,WINDSHIELD  WIPER",16,10/3/14,$193.92 
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,PASSENGER MOTOR VEHICLES,1,9/25/14,"$10,000.00 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"TOOL KIT,REPAIRMAN'S,SMALL ARMS",1,10/3/14,"$2,147.00 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"TOOL KIT,ELECTRONIC SYSTEM",1,10/3/14,$638.00 
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"HOSE,NONMETALLIC",2,9/25/14,$1.34 
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,TOOL AND HARDWARE BOXES,8,10/3/14,$800.00 
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"TOOL KIT,PLUMBERS SQUAD",2,10/3/14,"$23,099.02 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"GENERATOR SET,DIESEL ENGINE",1,10/3/14,"$9,348.00 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"LOCKER,STOWAGE,FLAM",2,10/7/14,"$8,667.64 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"GENERATOR SET,GASOLINE ENGINE",1,10/3/14,"$4,446.00 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,"GENERATOR SET,GASOLINE ENGINE",1,10/3/14,"$4,446.00 "
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,JACK,1,10/3/14,$100.00 
PASSAIC COUNTY SHERIFF DEPARTMEN,PASSAIC,ELECTRIC ARC WELDING EQUIPMENT,1,10/7/14,"$1,000.00 "
