agency,address,county,item,quantity,date_received,total_cost
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",ESSEX,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",ESSEX,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",ESSEX,"SIGHT,REFLEX",18,4/14/14,"$6,120.00 "
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",ESSEX,"SIGHT,REFLEX",10,4/14/14,"$3,400.00 "
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",ESSEX,"SIGHT,REFLEX",5,4/14/14,"$1,700.00 "
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",ESSEX,"TRUCK,CARGO",1,10/22/14,"$67,139.00 "
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",ESSEX,"TRUCK,CARGO",1,9/27/11,"$56,832.00 "
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",ESSEX,"TRUCK,CARGO",1,9/27/11,"$56,832.00 "
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",ESSEX,"TRUCK,VAN",1,10/22/14,"$111,395.00 "
BELMAR POLICE DEPT,"601 Main St, Belmar, NJ 07719",MONMOUTH,TRUCK TRACTOR,1,4/16/14,"$86,203.00 "
BELMAR POLICE DEPT,"601 Main St, Belmar, NJ 07719",MONMOUTH,TRUCK TRACTOR,1,4/16/14,"$86,203.00 "
BELMAR POLICE DEPT,"601 Main St, Belmar, NJ 07719",MONMOUTH,TRUCK TRACTOR,1,4/16/14,"$138,870.00 "
BELMAR POLICE DEPT,"601 Main St, Belmar, NJ 07719",MONMOUTH,TRUCK TRACTOR,1,8/6/14,"$70,832.00 "
BELMAR POLICE DEPT,"601 Main St, Belmar, NJ 07719",MONMOUTH,"TRUCK,CARGO",2,4/16/14,"$144,080.00 "
BELMAR POLICE DEPT,"601 Main St, Belmar, NJ 07719",MONMOUTH,"TRUCK,CARGO",2,4/16/14,"$134,278.00 "
BELMAR POLICE DEPT,"601 Main St, Belmar, NJ 07719",MONMOUTH,"TRUCK,DUMP",1,4/16/14,"$72,425.00 "
BELMAR POLICE DEPT,"601 Main St, Belmar, NJ 07719",MONMOUTH,"TRUCK,DUMP",1,4/16/14,"$72,425.00 "
BELMAR POLICE DEPT,"601 Main St, Belmar, NJ 07719",MONMOUTH,"TRUCK,LIFT,FORK",1,7/21/14,"$72,370.00 "
BELMAR POLICE DEPT,"601 Main St, Belmar, NJ 07719",MONMOUTH,"TRUCK,UTILITY",1,4/18/14,"$41,061.00 "
BELMAR POLICE DEPT,"601 Main St, Belmar, NJ 07719",MONMOUTH,"TRUCK,UTILITY",1,4/18/14,"$41,061.00 "
BELMAR POLICE DEPT,"601 Main St, Belmar, NJ 07719",MONMOUTH,"TRUCK,UTILITY",1,4/18/14,"$41,061.00 "
BELMAR POLICE DEPT,"601 Main St, Belmar, NJ 07719",MONMOUTH,"TRUCK,UTILITY",1,4/18/14,"$41,061.00 "
BELMAR POLICE DEPT,"601 Main St, Belmar, NJ 07719",MONMOUTH,"TRUCK,UTILITY",1,1/29/14,"$50,458.00 "
BELMAR POLICE DEPT,"601 Main St, Belmar, NJ 07719",MONMOUTH,"TRUCK,UTILITY",1,1/29/14,"$50,458.00 "
BELMAR POLICE DEPT,"601 Main St, Belmar, NJ 07719",MONMOUTH,"TRUCK,UTILITY",1,4/18/14,"$41,061.00 "
BELMAR POLICE DEPT,"601 Main St, Belmar, NJ 07719",MONMOUTH,"TRUCK,UTILITY",1,4/18/14,"$41,061.00 "
BELMAR POLICE DEPT,"601 Main St, Belmar, NJ 07719",MONMOUTH,"TRUCK,UTILITY",1,9/5/14,"$32,990.00 "
BELMAR POLICE DEPT,"601 Main St, Belmar, NJ 07719",MONMOUTH,"TRUCK,VAN",1,4/16/14,"$135,122.00 "
BELMAR POLICE DEPT,"601 Main St, Belmar, NJ 07719",MONMOUTH,"TRUCK,VAN",1,8/5/14,"$33,082.00 "
BERGEN COUNTY SHERIFF DEPT,"10 Main Street, Hackensack, New Jersey 07601 ",BERGEN,"GOGGLES,BALLISTIC",25,11/3/14,"$1,218.00 "
BERGEN COUNTY SHERIFF DEPT,"10 Main Street, Hackensack, New Jersey 07601 ",BERGEN,M79 GRENADE LAUNCHER,1,1/16/14,$720.00 
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",OCEAN,M16 ASSAULT RIFLE,1,11/12/13,$499.00 
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",OCEAN,M16 ASSAULT RIFLE,1,11/12/13,$499.00 
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",OCEAN,M16 ASSAULT RIFLE,1,11/5/13,$499.00 
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",OCEAN,M16 ASSAULT RIFLE,1,11/12/13,$499.00 
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",OCEAN,M16 ASSAULT RIFLE,1,11/12/13,$499.00 
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",OCEAN,M16 ASSAULT RIFLE,1,11/5/13,$499.00 
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",OCEAN,M16 ASSAULT RIFLE,1,11/5/13,$499.00 
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",OCEAN,M16 ASSAULT RIFLE,1,11/12/13,$499.00 
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",OCEAN,M16 ASSAULT RIFLE,1,4/9/14,$499.00 
