agency,address,latitude,longitude,county,item,quantity,date,cost
ALLENHURST POLICE DEPT,"125 Corlies Ave, Allenhurst, NJ 07711",40.23604377,-73.99900717,MONMOUTH,"TRUCK,UTILITY",1,8/28/14,"$41,061.00 "
ALLENHURST POLICE DEPT,"125 Corlies Ave, Allenhurst, NJ 07711",40.23604377,-73.99900717,MONMOUTH,"TRUCK,UTILITY",1,8/28/14,"$41,061.00 "
ALLENHURST POLICE DEPT,"125 Corlies Ave, Allenhurst, NJ 07711",40.23604377,-73.99900717,MONMOUTH,"TRUCK,UTILITY",1,9/1/14,"$41,061.00 "
ALLENHURST POLICE DEPT,"125 Corlies Ave, Allenhurst, NJ 07711",40.23604377,-73.99900717,MONMOUTH,"TRUCK,UTILITY",1,9/18/14,"$41,061.00 "
ALLENHURST POLICE DEPT,"125 Corlies Ave, Allenhurst, NJ 07711",40.23604377,-73.99900717,MONMOUTH,"TRUCK,VAN",1,10/24/14,"$111,395.00 "
ATLANTIC CITY POLICE DEPT,"2715 Atlantic Avenue, Atlantic City, NJ 08401",39.35550167,-74.44465693,ATLANTIC,M14 ASSAULT RIFLE,1,4/17/14,$138.00 
ATLANTIC CITY POLICE DEPT,"2715 Atlantic Avenue, Atlantic City, NJ 08401",39.35550167,-74.44465693,ATLANTIC,M14 ASSAULT RIFLE,1,4/17/14,$138.00 
ATLANTIC CITY POLICE DEPT,"2715 Atlantic Avenue, Atlantic City, NJ 08401",39.35550167,-74.44465693,ATLANTIC,M14 ASSAULT RIFLE,1,4/17/14,$138.00 
ATLANTIC CITY POLICE DEPT,"2715 Atlantic Avenue, Atlantic City, NJ 08401",39.35550167,-74.44465693,ATLANTIC,M14 ASSAULT RIFLE,1,4/17/14,$138.00 
ATLANTIC CITY POLICE DEPT,"2715 Atlantic Avenue, Atlantic City, NJ 08401",39.35550167,-74.44465693,ATLANTIC,M14 ASSAULT RIFLE,1,4/17/14,$138.00 
ATLANTIC CITY POLICE DEPT,"2715 Atlantic Avenue, Atlantic City, NJ 08401",39.35550167,-74.44465693,ATLANTIC,M14 ASSAULT RIFLE,1,4/17/14,$138.00 
ATLANTIC CITY POLICE DEPT,"2715 Atlantic Avenue, Atlantic City, NJ 08401",39.35550167,-74.44465693,ATLANTIC,M14 ASSAULT RIFLE,1,4/17/14,$138.00 
ATLANTIC CITY POLICE DEPT,"2715 Atlantic Avenue, Atlantic City, NJ 08401",39.35550167,-74.44465693,ATLANTIC,M14 ASSAULT RIFLE,1,4/17/14,$138.00 
AVALON POLICE DEPT,"3088 Dune Dr, Avalon, NJ 08202",39.0957619,-74.72308806,CAPE MAY,TRUCK TRACTOR,1,4/28/14,"$57,454.00 "
AVALON POLICE DEPT,"3088 Dune Dr, Avalon, NJ 08202",39.0957619,-74.72308806,CAPE MAY,TRUCK TRACTOR,1,4/28/14,"$57,454.00 "
AVALON POLICE DEPT,"3088 Dune Dr, Avalon, NJ 08202",39.0957619,-74.72308806,CAPE MAY,TRUCK TRACTOR,3,4/28/14,"$212,496.00 "
AVALON POLICE DEPT,"3088 Dune Dr, Avalon, NJ 08202",39.0957619,-74.72308806,CAPE MAY,TRUCK TRACTOR,2,9/1/14,"$141,664.00 "
AVALON POLICE DEPT,"3088 Dune Dr, Avalon, NJ 08202",39.0957619,-74.72308806,CAPE MAY,"TRUCK,DUMP",1,4/28/14,"$72,425.00 "
AVALON POLICE DEPT,"3088 Dune Dr, Avalon, NJ 08202",39.0957619,-74.72308806,CAPE MAY,"TRUCK,UTILITY",1,4/30/14,"$50,458.00 "
AVALON POLICE DEPT,"3088 Dune Dr, Avalon, NJ 08202",39.0957619,-74.72308806,CAPE MAY,"TRUCK,UTILITY",1,4/30/14,"$50,458.00 "
AVALON POLICE DEPT,"3088 Dune Dr, Avalon, NJ 08202",39.0957619,-74.72308806,CAPE MAY,"TRUCK,VAN",1,9/10/14,"$135,122.00 "
AVALON POLICE DEPT,"3088 Dune Dr, Avalon, NJ 08202",39.0957619,-74.72308806,CAPE MAY,"TRUCK,VAN",1,9/11/14,"$135,122.00 "
AVON BY THE SEA POLICE DEPT,"301 Main St, Avon By The Sea, NJ 07717",40.185934,-74.0235069,MONMOUTH,"TRUCK,CARGO",1,3/21/14,"$93,042.00 "
AVON BY THE SEA POLICE DEPT,"301 Main St, Avon By The Sea, NJ 07717",40.185934,-74.0235069,MONMOUTH,"TRUCK,UTILITY",1,5/7/14,"$47,023.00 "
AVON BY THE SEA POLICE DEPT,"301 Main St, Avon By The Sea, NJ 07717",40.185934,-74.0235069,MONMOUTH,"TRUCK,UTILITY",1,5/7/14,"$50,458.00 "
AVON BY THE SEA POLICE DEPT,"301 Main St, Avon By The Sea, NJ 07717",40.185934,-74.0235069,MONMOUTH,"TRUCK,UTILITY",1,8/22/14,"$41,061.00 "
BARNEGAT TOWNSHIP POLICE DEPT,"900 W Bay Ave, Barnegat, NJ 08005",39.7584917,-74.2470752,OCEAN,"SIGHT,HOLOGRAPHIC",3,10/16/14,"$1,783.83 "
BARNEGAT TOWNSHIP POLICE DEPT,"900 W Bay Ave, Barnegat, NJ 08005",39.7584917,-74.2470752,OCEAN,"SIGHT,REFLEX",20,4/30/14,"$6,800.00 "
BARNEGAT TOWNSHIP POLICE DEPT,"900 W Bay Ave, Barnegat, NJ 08005",39.7584917,-74.2470752,OCEAN,"TRUCK,CARGO",1,4/30/14,"$67,139.00 "
BARNEGAT TOWNSHIP POLICE DEPT,"900 W Bay Ave, Barnegat, NJ 08005",39.7584917,-74.2470752,OCEAN,"TRUCK,CARGO",1,3/31/14,"$75,278.00 "
BARNEGAT TOWNSHIP POLICE DEPT,"900 W Bay Ave, Barnegat, NJ 08005",39.7584917,-74.2470752,OCEAN,"TRUCK,LIFT,FORK",1,10/31/14,"$72,370.00 "
BARNEGAT TOWNSHIP POLICE DEPT,"900 W Bay Ave, Barnegat, NJ 08005",39.7584917,-74.2470752,OCEAN,"TRUCK,UTILITY",1,3/31/14,"$49,897.00 "
BARNEGAT TOWNSHIP POLICE DEPT,"900 W Bay Ave, Barnegat, NJ 08005",39.7584917,-74.2470752,OCEAN,"TRUCK,UTILITY",1,3/31/14,"$49,897.00 "
BARNEGAT TOWNSHIP POLICE DEPT,"900 W Bay Ave, Barnegat, NJ 08005",39.7584917,-74.2470752,OCEAN,"TRUCK,UTILITY",1,3/31/14,"$49,897.00 "
BARNEGAT TOWNSHIP POLICE DEPT,"900 W Bay Ave, Barnegat, NJ 08005",39.7584917,-74.2470752,OCEAN,"TRUCK,UTILITY",1,3/31/14,"$49,897.00 "
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",40.7989146,-74.1476511,ESSEX,M14 ASSAULT RIFLE,1,4/15/14,$138.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",40.7989146,-74.1476511,ESSEX,M14 ASSAULT RIFLE,1,4/15/14,$138.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",40.7989146,-74.1476511,ESSEX,M14 ASSAULT RIFLE,1,4/15/14,$138.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",40.7989146,-74.1476511,ESSEX,M14 ASSAULT RIFLE,1,4/17/14,$138.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",40.7989146,-74.1476511,ESSEX,M14 ASSAULT RIFLE,1,4/15/14,$138.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",40.7989146,-74.1476511,ESSEX,M14 ASSAULT RIFLE,1,4/15/14,$138.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",40.7989146,-74.1476511,ESSEX,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",40.7989146,-74.1476511,ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",40.7989146,-74.1476511,ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",40.7989146,-74.1476511,ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",40.7989146,-74.1476511,ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",40.7989146,-74.1476511,ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",40.7989146,-74.1476511,ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",40.7989146,-74.1476511,ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",40.7989146,-74.1476511,ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",40.7989146,-74.1476511,ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",40.7989146,-74.1476511,ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",40.7989146,-74.1476511,ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",40.7989146,-74.1476511,ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",40.7989146,-74.1476511,ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",40.7989146,-74.1476511,ESSEX,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",40.7989146,-74.1476511,ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",40.7989146,-74.1476511,ESSEX,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",40.7989146,-74.1476511,ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",40.7989146,-74.1476511,ESSEX,"SIGHT,REFLEX",18,4/14/14,"$6,120.00 "
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",40.7989146,-74.1476511,ESSEX,"SIGHT,REFLEX",10,4/14/14,"$3,400.00 "
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",40.7989146,-74.1476511,ESSEX,"SIGHT,REFLEX",5,4/14/14,"$1,700.00 "
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",40.7989146,-74.1476511,ESSEX,"TRUCK,CARGO",1,10/22/14,"$67,139.00 "
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",40.7989146,-74.1476511,ESSEX,"TRUCK,CARGO",1,9/27/11,"$56,832.00 "
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",40.7989146,-74.1476511,ESSEX,"TRUCK,CARGO",1,9/27/11,"$56,832.00 "
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",40.7989146,-74.1476511,ESSEX,"TRUCK,VAN",1,10/22/14,"$111,395.00 "
BELMAR POLICE DEPT,"601 Main St, Belmar, NJ 07719",40.176395,-74.0266819,MONMOUTH,TRUCK TRACTOR,1,4/16/14,"$86,203.00 "
BELMAR POLICE DEPT,"601 Main St, Belmar, NJ 07719",40.176395,-74.0266819,MONMOUTH,TRUCK TRACTOR,1,4/16/14,"$86,203.00 "
BELMAR POLICE DEPT,"601 Main St, Belmar, NJ 07719",40.176395,-74.0266819,MONMOUTH,TRUCK TRACTOR,1,4/16/14,"$138,870.00 "
BELMAR POLICE DEPT,"601 Main St, Belmar, NJ 07719",40.176395,-74.0266819,MONMOUTH,TRUCK TRACTOR,1,8/6/14,"$70,832.00 "
BELMAR POLICE DEPT,"601 Main St, Belmar, NJ 07719",40.176395,-74.0266819,MONMOUTH,"TRUCK,CARGO",2,4/16/14,"$144,080.00 "
BELMAR POLICE DEPT,"601 Main St, Belmar, NJ 07719",40.176395,-74.0266819,MONMOUTH,"TRUCK,CARGO",2,4/16/14,"$134,278.00 "
BELMAR POLICE DEPT,"601 Main St, Belmar, NJ 07719",40.176395,-74.0266819,MONMOUTH,"TRUCK,DUMP",1,4/16/14,"$72,425.00 "
BELMAR POLICE DEPT,"601 Main St, Belmar, NJ 07719",40.176395,-74.0266819,MONMOUTH,"TRUCK,DUMP",1,4/16/14,"$72,425.00 "
BELMAR POLICE DEPT,"601 Main St, Belmar, NJ 07719",40.176395,-74.0266819,MONMOUTH,"TRUCK,LIFT,FORK",1,7/21/14,"$72,370.00 "
BELMAR POLICE DEPT,"601 Main St, Belmar, NJ 07719",40.176395,-74.0266819,MONMOUTH,"TRUCK,UTILITY",1,4/18/14,"$41,061.00 "
BELMAR POLICE DEPT,"601 Main St, Belmar, NJ 07719",40.176395,-74.0266819,MONMOUTH,"TRUCK,UTILITY",1,4/18/14,"$41,061.00 "
BELMAR POLICE DEPT,"601 Main St, Belmar, NJ 07719",40.176395,-74.0266819,MONMOUTH,"TRUCK,UTILITY",1,4/18/14,"$41,061.00 "
BELMAR POLICE DEPT,"601 Main St, Belmar, NJ 07719",40.176395,-74.0266819,MONMOUTH,"TRUCK,UTILITY",1,4/18/14,"$41,061.00 "
BELMAR POLICE DEPT,"601 Main St, Belmar, NJ 07719",40.176395,-74.0266819,MONMOUTH,"TRUCK,UTILITY",1,1/29/14,"$50,458.00 "
BELMAR POLICE DEPT,"601 Main St, Belmar, NJ 07719",40.176395,-74.0266819,MONMOUTH,"TRUCK,UTILITY",1,1/29/14,"$50,458.00 "
BELMAR POLICE DEPT,"601 Main St, Belmar, NJ 07719",40.176395,-74.0266819,MONMOUTH,"TRUCK,UTILITY",1,4/18/14,"$41,061.00 "
BELMAR POLICE DEPT,"601 Main St, Belmar, NJ 07719",40.176395,-74.0266819,MONMOUTH,"TRUCK,UTILITY",1,4/18/14,"$41,061.00 "
BELMAR POLICE DEPT,"601 Main St, Belmar, NJ 07719",40.176395,-74.0266819,MONMOUTH,"TRUCK,UTILITY",1,9/5/14,"$32,990.00 "
BELMAR POLICE DEPT,"601 Main St, Belmar, NJ 07719",40.176395,-74.0266819,MONMOUTH,"TRUCK,VAN",1,4/16/14,"$135,122.00 "
BELMAR POLICE DEPT,"601 Main St, Belmar, NJ 07719",40.176395,-74.0266819,MONMOUTH,"TRUCK,VAN",1,8/5/14,"$33,082.00 "
BERGEN COUNTY SHERIFF DEPT,"10 Main Street, Hackensack, New Jersey 07601 ",40.87817895,-74.04425069,BERGEN,"GOGGLES,BALLISTIC",25,11/3/14,"$1,218.00 "
BERGEN COUNTY SHERIFF DEPT,"10 Main Street, Hackensack, New Jersey 07601 ",40.87817895,-74.04425069,BERGEN,M79 GRENADE LAUNCHER,1,1/16/14,$720.00 
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",40.406408,-74.225624,OCEAN,M16 ASSAULT RIFLE,1,11/12/13,$499.00 
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",40.406408,-74.225624,OCEAN,M16 ASSAULT RIFLE,1,11/12/13,$499.00 
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",40.406408,-74.225624,OCEAN,M16 ASSAULT RIFLE,1,11/5/13,$499.00 
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",40.406408,-74.225624,OCEAN,M16 ASSAULT RIFLE,1,11/12/13,$499.00 
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",40.406408,-74.225624,OCEAN,M16 ASSAULT RIFLE,1,11/12/13,$499.00 
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",40.406408,-74.225624,OCEAN,M16 ASSAULT RIFLE,1,11/5/13,$499.00 
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",40.406408,-74.225624,OCEAN,M16 ASSAULT RIFLE,1,11/5/13,$499.00 
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",40.406408,-74.225624,OCEAN,M16 ASSAULT RIFLE,1,11/12/13,$499.00 
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",40.406408,-74.225624,OCEAN,M16 ASSAULT RIFLE,1,4/9/14,$499.00 
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",40.406408,-74.225624,OCEAN,M16 ASSAULT RIFLE,1,4/9/14,$499.00 
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",40.406408,-74.225624,OCEAN,M16 ASSAULT RIFLE,1,4/9/14,$499.00 
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",40.406408,-74.225624,OCEAN,M16 ASSAULT RIFLE,1,4/9/14,$499.00 
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",40.406408,-74.225624,OCEAN,M16 ASSAULT RIFLE,1,4/9/14,$499.00 
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",40.406408,-74.225624,OCEAN,M16 ASSAULT RIFLE,1,4/9/14,$499.00 
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",40.406408,-74.225624,OCEAN,M16 ASSAULT RIFLE,1,4/9/14,$499.00 
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",40.406408,-74.225624,OCEAN,M16 ASSAULT RIFLE,1,4/10/14,$499.00 
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",40.406408,-74.225624,OCEAN,M16 ASSAULT RIFLE,1,4/9/14,$499.00 
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",40.406408,-74.225624,OCEAN,M16 ASSAULT RIFLE,1,4/9/14,$499.00 
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",40.406408,-74.225624,OCEAN,"TRUCK,CARGO",1,8/29/14,"$72,040.00 "
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",40.406408,-74.225624,OCEAN,"TRUCK,LIFT,FORK",1,10/2/14,"$72,370.00 "
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",40.406408,-74.225624,OCEAN,"TRUCK,UTILITY",1,9/1/14,"$47,023.00 "
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",40.406408,-74.225624,OCEAN,"TRUCK,UTILITY",1,9/1/14,"$41,061.00 "
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",40.406408,-74.225624,OCEAN,"TRUCK,UTILITY",1,9/1/14,"$47,023.00 "
BERLIN TOWNSHIP POLICE DEPT,"135 Route 73 South, West Berlin NJ 08091",40.406408,-74.225624,CAMDEN,M16 ASSAULT RIFLE,1,1/29/14,$499.00 
BERLIN TOWNSHIP POLICE DEPT,"135 Route 73 South, West Berlin NJ 08091",40.406408,-74.225624,CAMDEN,M16 ASSAULT RIFLE,1,1/29/14,$499.00 
BERLIN TOWNSHIP POLICE DEPT,"135 Route 73 South, West Berlin NJ 08091",40.406408,-74.225624,CAMDEN,M16 ASSAULT RIFLE,1,1/29/14,$499.00 
BERLIN TOWNSHIP POLICE DEPT,"135 Route 73 South, West Berlin NJ 08091",40.406408,-74.225624,CAMDEN,M16 ASSAULT RIFLE,1,1/29/14,$499.00 
BLOOMFIELD POLICE DEPT,"1 Municipal Plaza, Bloomfield NJ 07003",40.792126,-74.195185,ESSEX,M14 ASSAULT RIFLE,1,4/22/14,$138.00 
BLOOMFIELD POLICE DEPT,"2 Municipal Plaza, Bloomfield NJ 07003",40.792126,-74.195185,ESSEX,M14 ASSAULT RIFLE,1,4/17/14,$138.00 
BLOOMFIELD POLICE DEPT,"3 Municipal Plaza, Bloomfield NJ 07003",40.792126,-74.195185,ESSEX,M14 ASSAULT RIFLE,1,4/23/14,$138.00 
BLOOMFIELD POLICE DEPT,"4 Municipal Plaza, Bloomfield NJ 07003",40.792126,-74.195185,ESSEX,M14 ASSAULT RIFLE,1,4/22/14,$138.00 
BLOOMFIELD POLICE DEPT,"5 Municipal Plaza, Bloomfield NJ 07003",40.792126,-74.195185,ESSEX,M14 ASSAULT RIFLE,1,4/22/14,$138.00 
BLOOMFIELD POLICE DEPT,"6 Municipal Plaza, Bloomfield NJ 07003",40.792126,-74.195185,ESSEX,M14 ASSAULT RIFLE,1,4/15/14,$138.00 
BLOOMFIELD POLICE DEPT,"7 Municipal Plaza, Bloomfield NJ 07003",40.792126,-74.195185,ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BLOOMFIELD POLICE DEPT,"8 Municipal Plaza, Bloomfield NJ 07003",40.792126,-74.195185,ESSEX,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
BLOOMFIELD POLICE DEPT,"9 Municipal Plaza, Bloomfield NJ 07003",40.792126,-74.195185,ESSEX,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
BLOOMFIELD POLICE DEPT,"10 Municipal Plaza, Bloomfield NJ 07003",40.792126,-74.195185,ESSEX,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
BLOOMFIELD POLICE DEPT,"11 Municipal Plaza, Bloomfield NJ 07003",40.792126,-74.195185,ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BLOOMFIELD POLICE DEPT,"12 Municipal Plaza, Bloomfield NJ 07003",40.792126,-74.195185,ESSEX,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
BOROUGH OF BRIELLE,"601 Union Lane, Brielle, NJ 08730",40.111175,-74.05833,MONMOUTH,"GOGGLES,INDUSTRIAL",15,10/27/14,$929.40 
BOROUGH OF BRIELLE,"601 Union Lane, Brielle, NJ 08730",40.111175,-74.05833,MONMOUTH,"TRUCK,LIFT,FORK",1,10/27/14,"$72,370.00 "
BOROUGH OF BRIELLE,"601 Union Lane, Brielle, NJ 08730",40.111175,-74.05833,MONMOUTH,"TRUCK,UTILITY",1,4/18/14,"$50,458.00 "
BRICK TOWNSHIP POLICE DEPT,"401 Chambersbridge Rd, Brick, NJ 08723",40.076565,-74.1545059,OCEAN,M16 ASSAULT RIFLE,1,2/12/14,$499.00 
BRICK TOWNSHIP POLICE DEPT,"401 Chambersbridge Rd, Brick, NJ 08723",40.076565,-74.1545059,OCEAN,M16 ASSAULT RIFLE,1,2/12/14,$499.00 
BRICK TOWNSHIP POLICE DEPT,"401 Chambersbridge Rd, Brick, NJ 08723",40.076565,-74.1545059,OCEAN,M16 ASSAULT RIFLE,1,2/12/14,$499.00 
BRICK TOWNSHIP POLICE DEPT,"401 Chambersbridge Rd, Brick, NJ 08723",40.076565,-74.1545059,OCEAN,M16 ASSAULT RIFLE,1,2/12/14,$499.00 
BRICK TOWNSHIP POLICE DEPT,"401 Chambersbridge Rd, Brick, NJ 08723",40.076565,-74.1545059,OCEAN,M16 ASSAULT RIFLE,1,2/12/14,$499.00 
BRICK TOWNSHIP POLICE DEPT,"401 Chambersbridge Rd, Brick, NJ 08723",40.076565,-74.1545059,OCEAN,M16 ASSAULT RIFLE,1,2/12/14,$499.00 
BRICK TOWNSHIP POLICE DEPT,"401 Chambersbridge Rd, Brick, NJ 08723",40.076565,-74.1545059,OCEAN,TRUCK TRACTOR,1,2/15/14,"$75,553.88 "
BRICK TOWNSHIP POLICE DEPT,"401 Chambersbridge Rd, Brick, NJ 08723",40.076565,-74.1545059,OCEAN,TRUCK TRACTOR,1,9/19/14,"$86,203.00 "
BRICK TOWNSHIP POLICE DEPT,"401 Chambersbridge Rd, Brick, NJ 08723",40.076565,-74.1545059,OCEAN,"TRUCK,ARMORED",1,5/2/14,"$65,070.00 "
BRICK TOWNSHIP POLICE DEPT,"401 Chambersbridge Rd, Brick, NJ 08723",40.076565,-74.1545059,OCEAN,"TRUCK,UTILITY",1,2/21/14,"$43,376.00 "
BRICK TOWNSHIP POLICE DEPT,"401 Chambersbridge Rd, Brick, NJ 08723",40.076565,-74.1545059,OCEAN,"TRUCK,UTILITY",1,2/15/14,"$50,458.00 "
