agency,county,item,quantity,cost,date
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,PARKA WET WEATHER,3,$73.45,5/17/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,PARKA WET WEATHER,3,$73.45,5/17/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,PONCHO WET WEATHER,3,$0.00,5/17/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,PRINTERS   H P ASSORTED,15,$0.00,5/17/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,RADIO,1,$0.00,5/17/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,RADIO,8,$0.00,5/17/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,RADIO 2 WAY  MOTOROLA SPECTRA,1,$0.00,5/17/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,RADIO MOTORLA,1,$0.00,5/17/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,WELDING MACHINE,1,$0.00,5/17/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,CHAIR ROTARY,15,$0.00,6/1/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,TV CABINET,1,$0.00,6/1/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,COAT COLD WEATHER,8,$0.00,6/7/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,BLANKET BED,123,$0.00,6/8/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,GANTRY CRANE,1,$0.00,6/8/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,LAPTOPS,50,$0.00,6/8/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,TRUCK LIFT FORK,1,$0.00,6/8/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,AIR CONDITIONER UNIT,10,$0.00,7/11/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,BANDAGE ELASTIC,200,$0.00,7/11/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,BANDAGE GAUZE,40,$0.00,7/11/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,FIRST AID KIT INDIV,120,$0.00,7/11/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,FLOODLIGHT SET ELEC,1,$0.00,7/11/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,LIGHT EXTENSION,34,$0.00,7/11/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,"LOCK,MECHANICAL    ",3,$11.41,7/11/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,MISC TOOLS,1,$0.00,7/11/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,SHREDDER US266,1,$0.00,7/11/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,UPS POWER SUPPLY,1,$0.00,7/11/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,FILE CABINET UNDERDESK,12,$50.00,7/14/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,LADERAL FILE CABINET,15,$0.00,7/14/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,MILL VERTICAL JET,1,$0.00,7/14/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,TREADMILL,1,$0.00,7/14/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,WOODEN BOOKCASE,6,$0.00,7/14/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,WOODEN OFFICE DESK,8,$0.00,7/14/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,SEMITRAILER,1,$0.00,8/2/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,TELEVISION,1,$0.00,9/8/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,PRESSURE WASHER,2,"$1,500.55",9/28/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,BLAST FINISHING SYSTEM,1,$0.00,10/10/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,"BANDAGE,GAUZE      ",89,$2.03,10/11/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,CONNECTOR PLUG ELEC,2,$11.07,10/11/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,CONTROL UNIT GENERA,3,"$2,950.00",10/11/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,"PLOTTER,GRAPHICS   ",1,"$53,301.00",10/11/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,BOOTS EXTREME COLD,3,$134.50,10/12/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,BOOTS EXTREME COLD,3,$134.50,10/12/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,CAT 5 CABLE,5,$10.00,10/12/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,CHAIR  RECLINER,2,$200.00,10/12/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,CONNECTOR PLUG ELEC,3,$14.41,10/12/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,CONNECTOR PLUG ELEC,6,$4.85,10/12/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,COTTER PIN ASSORTME,9,$3.26,10/12/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,GLOVES MEN S,10,$8.76,10/12/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,GOGGLES SUN WIND AN,2,$18.05,10/12/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,GOGGLES SUN WIND AN,2,$18.05,10/12/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,"LANTERN,ELECTRIC   ",21,$25.49,10/12/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,RUBBER STAMP BAND T,14,$1.37,10/12/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,STONE SHARPENING,2,$20.70,10/12/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,TAPE ADHESIVE RUBBE,3,$148.46,10/12/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,TAPE PRESSURE SENSI,4,$10.39,10/12/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,TAPE PRESSURE SENSI,16,$3.00,10/12/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,TOOL BOX,1,$50.00,10/12/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,"TOOL BOX,PORTABLE  ",2,$20.59,10/12/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,TOOL KIT DIESEL INJ,1,"$3,839.00",10/12/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,TOOL KIT ELECTRICAL,2,"$3,448.44",10/12/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,TYPEWRITER,1,$619.85,10/12/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,UPS,1,$50.00,10/12/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,UPS,1,$50.00,10/12/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,UPS,1,$50.00,10/12/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,VELCRO VASTNER,10,$50.00,10/12/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,WELDER,1,"$7,878.00",10/12/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,WRENCH COMPRESSOR,1,$1.00,10/12/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,WRENCH SPANNER,1,$1.00,10/12/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,WRENCH SPANNER,1,$1.00,10/12/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,WRENCH SPANNER,1,$1.00,10/12/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,"CHAIR,ROTARY       ",6,$168.06,10/14/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,WRENCH,3,$15.27,10/17/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,KEY MACHINE,1,$0.00,10/24/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,SETSCREW,88,$0.00,10/24/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,WASHER FLAT,1,$0.00,10/24/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,WASHER FLAT,20,$0.00,10/24/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,WASHER FLAT,33,$0.00,10/24/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,WASHER LOCK,78,$0.00,10/24/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,COT FOLDING,8,$61.34,10/25/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,CRIMP TOOL,1,$299.00,10/25/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,TAPE INSULATION ELE,3,$0.00,10/25/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,TOOL SETS,2,$500.00,10/25/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,WASHER LOCK,18,$0.00,10/25/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,MAN LIFT,1,"$53,170.59",10/26/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,FIRST AID KIT GENER,34,$0.00,10/31/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,"BASE STATION,RADIO ",8,"$3,368.00",11/1/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,BOOTS COLD WEATHER,3,$103.90,11/2/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,BOOTS COLD WEATHER,4,$103.90,11/2/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,BOOTS COLD WEATHER,4,$103.90,11/2/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,CHALK MARKING,11,$0.00,11/2/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,LIGHT SET GENERAL I,1,$0.00,11/2/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,STENCIL CUTTING MAC,1,$920.59,11/2/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,TAPE INSULATION ELE,31,$16.01,11/2/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,TOOL KIT GENERAL ME,1,$0.00,11/2/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,TOOL KIT GENERAL ME,2,$0.00,11/2/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,TOOLS,1,$0.00,11/2/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,TOWBAR MOTOR VEHICL,1,"$1,383.51",11/2/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,SEMITRAILER LOW BED,1,$0.00,11/6/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,LAMP INCANDESCENT,172,$0.00,11/13/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,ALIGNMENT TOOL ELEC,5,$0.00,11/14/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,ALIGNMENT TOOL ELEC,7,$6.89,11/14/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,BAG MAILING,1,$0.00,11/14/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,BANDAGE MUSLIN,8,$0.00,11/14/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,BIT SCREWDRIVER,5,$0.00,11/14/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,BIT SCREWDRIVER,84,$0.00,11/14/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,DRILL MASONRY ROTAR,3,$0.00,11/14/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,DRILL TWIST,1,$0.00,11/14/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,DRILL TWIST,1,$0.00,11/14/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,DRILL TWIST,1,$0.00,11/14/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,DRILL TWIST,1,$0.00,11/14/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,DRILL TWIST,1,$0.00,11/14/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,DRILL TWIST,1,$0.00,11/14/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,ENGINE DIESEL,1,$0.00,11/14/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,ENGINE DIESEL,2,$0.00,11/14/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,SOCKET PLUG IN ELEC,1,$0.00,11/14/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,SOCKET SOCKET WRENC,1,$0.00,11/14/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,SOCKET SOCKET WRENC,1,$0.00,11/14/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,SWITCH TOGGLE,2,$0.00,11/14/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,WRENCH BOX AND OPEN,1,$0.00,11/14/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,WRENCH OPEN END,1,$0.00,11/14/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,WRENCH SOCKET,2,$0.00,11/14/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,COT FOLDING,14,$0.00,11/16/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,WIRE ELECTRICAL,478,$0.00,11/17/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,SEMITRAILER VAN,1,$0.00,11/22/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,ADHESIVE TAPE SURGI,175,$14.24,11/30/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,ALARM BACK UP VEHIC,9,$53.65,11/30/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,DRILL TWIST,6,$7.53,12/1/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,BINOCULAR,10,$960.00,12/6/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,DRILL TWIST,4,$11.09,12/6/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,DRILL TWIST,5,$9.66,12/6/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,KEY SET SOCKET HEAD,2,$0.00,12/6/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,LAPTOP,9,$0.00,12/6/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,TOOL KIT SCREW THRE,2,$117.64,12/6/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,DESK FIELD,7,$0.00,12/7/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,BLADE CIRCULAR SAW ,12,$3.61,12/8/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,BOOK CASE WOODEN,1,$0.00,12/8/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,CAMERA SURVEILANCE,1,$0.00,12/8/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,DISPLAY BOARD,1,$0.00,12/8/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,DRILL TWIST,5,$9.97,12/8/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,FLUORESCENT LAMP,30,$0.00,12/8/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,HOSE REEL,1,$0.00,12/8/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,LAMP FLOOR,2,$25.00,12/8/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,LAMP INCANDESCENT,1,$36.51,12/8/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,LAMP TABLE,2,$25.00,12/8/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,MIRROR  WOOD FRAME,10,$30.00,12/8/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,WRENCH BOX AND OPEN,1,$0.00,12/8/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,WRENCH BOX AND OPEN,25,$0.00,12/8/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,HOSE AIR DUCT AIR B,1,$40.72,12/13/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,BIT SCREWDRIVER,7,$0.00,12/22/06
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,15 TON TRACTOR TRAILER,1,"$82,760.00",1/3/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,25 TON LOWBOY TRAILER,1,"$60,000.00",1/3/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,BANDAGE GAUZE,50,$0.89,1/3/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,SKIRT WOMAN S,1,$14.90,1/4/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,ADHESIVE TAPE SURGI,4,$0.00,1/10/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,CHEST TOOL KIT,1,$403.20,1/10/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,FILE HAND,1,$3.77,1/10/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,FILE HAND,1,$10.37,1/10/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,FLOOD LIGHT,10,$5.00,1/10/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,LIGHT EXTENSION,10,$220.38,1/10/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,TOOL KIT GENERAL ME,2,"$1,184.00",1/10/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,TOOL KIT GENERAL ME,2,$876.12,1/10/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,LIGHT BED,1,$0.00,1/24/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,BARRICADE PORTABLE ,6,$362.68,1/25/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,TIE DOWN CARGO VEHI,22,$0.00,1/31/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,WIRE ELECTRICAL,399,$0.05,2/8/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,WIRE ELECTRICAL,450,$0.01,2/8/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,SPONGE SURGICAL,6,$83.43,2/9/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,BULLHORN,1,$40.00,2/21/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,CAMERA DIGITAL PC,1,$399.00,2/21/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,COMPAQ 4110 CPU,7,$1.00,2/21/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,JIGSAW,1,$195.00,2/21/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,RADIO VHF FM TRANSMITTER,12,$418.00,2/21/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,RECEIVER  TRANSMITTER RADIO,1,$50.00,2/21/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,VCR   TV,3,$299.99,2/21/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,VCR TIME LAPSE 7REC,1,"$2,302.03",2/21/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,DESKTOP,10,$5.00,2/23/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,LAPTOPS,10,$5.00,2/23/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,WRENCH ADJUSTABLE,1,$0.00,2/28/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,BANDAGE GAUZE,1,$0.00,3/5/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,12 GAUGE UTILITY POUCH,2,$23.65,3/12/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,40 MM CARRYING POUCH,3,$13.65,3/12/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,BINOCULAR,2,$0.00,3/12/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,FLAT PANEL LCD MONITOR 17 21,5,$0.00,3/12/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,FLAT SCREEN MONITORS,36,$275.35,3/12/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,KNIFE RESCUE,1,$37.17,3/12/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,WIRE ELECTRICAL,2500,$0.00,3/12/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,LOCK RIM,17,$2.84,3/15/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,DESKTOP 1 7GHZ,8,"$1,200.00",3/26/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,FORK LIFT,1,$0.00,3/26/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,PLIERS,50,$9.96,3/26/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,PLIERS,50,$9.96,3/26/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,SHOVELS,4,$0.00,3/26/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,TOOL POUCH,1,$50.00,3/26/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,FLOODLIGHT ELECTRIC,13,$52.98,3/29/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,GRINDER,1,$500.00,4/24/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,PALLET JACK,2,"$1,000.00",4/24/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,THREADER,1,$400.00,4/24/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,TIRE CHANGER,1,"$1,190.00",4/24/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,TRAILER STAND,1,$500.00,4/24/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,WHEEL BARREL,1,$200.00,4/24/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,LIFT MOTOR VEHICLE,1,"$5,000.00",4/27/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,SALT SPREADER,1,"$5,000.00",4/27/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,TRACTOR WHEELED IND,1,"$11,404.74",4/27/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,PICKUP,1,"$12,000.00",6/1/07
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,TENT               ,3,"$7,157.93",2/22/12
LONG BRANCH POLICE DEPARTMENT,MONMOUTH,LATRINE TRAILER,1,"$20,000.00",2/23/12
MIDDLETOWN TOWNSHIP POLICE DEPARTMENT,MONMOUTH,"PUMPING ASSEMBLY,FLAMMABLE LIQUID,BULK TRANSFER",2,"$12,582.00",10/22/12
MIDDLETOWN TOWNSHIP POLICE DEPARTMENT,MONMOUTH,"BOX,SHIPPING",1,"$3,691.00",12/6/12
MIDDLETOWN TOWNSHIP POLICE DEPARTMENT,MONMOUTH,"CONTAINER ASSEMBLY,CARTRIDGE",90,$7.50,12/6/12
MIDDLETOWN TOWNSHIP POLICE DEPARTMENT,MONMOUTH,"CPU, DESKTOP",2,$589.66,1/18/13
MIDDLETOWN TOWNSHIP POLICE DEPARTMENT,MONMOUTH,"CPU, DESKTOP",1,$589.66,1/18/13
MIDDLETOWN TOWNSHIP POLICE DEPARTMENT,MONMOUTH,"CPU, DESKTOP",15,$589.66,1/18/13
MIDDLETOWN TOWNSHIP POLICE DEPARTMENT,MONMOUTH,"CPU, DESKTOP",10,$589.66,1/18/13
MIDDLETOWN TOWNSHIP POLICE DEPARTMENT,MONMOUTH,"CPU, DESKTOP",1,$589.66,1/18/13
MIDDLETOWN TOWNSHIP POLICE DEPARTMENT,MONMOUTH,"CPU, DESKTOP",18,$796.00,1/18/13
MIDDLETOWN TOWNSHIP POLICE DEPARTMENT,MONMOUTH,"CPU, PORTABLE",2,"$1,000.00",1/18/13
MIDDLETOWN TOWNSHIP POLICE DEPARTMENT,MONMOUTH,"CPU, PORTABLE",2,"$1,000.00",1/18/13
MIDDLETOWN TOWNSHIP POLICE DEPARTMENT,MONMOUTH,"CPU, WORKSTATION",2,"$7,936.00",1/18/13
MIDDLETOWN TOWNSHIP POLICE DEPARTMENT,MONMOUTH,"MONITOR, FLAT PANEL",4,$575.00,1/18/13
MIDDLETOWN TOWNSHIP POLICE DEPARTMENT,MONMOUTH,"MONITOR, FLAT PANEL",2,$208.27,1/18/13
MIDDLETOWN TOWNSHIP POLICE DEPARTMENT,MONMOUTH,PRINTER,1,$125.00,1/18/13
MIDDLETOWN TOWNSHIP POLICE DEPARTMENT,MONMOUTH,"FLOODLIGHT SET,TRAILER MOUNTED",1,"$4,489.00",3/6/13
MIDDLETOWN TOWNSHIP POLICE DEPARTMENT,MONMOUTH,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",1,"$20,810.00",3/8/13
MIDDLETOWN TOWNSHIP POLICE DEPARTMENT,MONMOUTH,GLOW PLUG,10,$59.93,3/21/13
MIDDLETOWN TOWNSHIP POLICE DEPARTMENT,MONMOUTH,"ELECTRIC PORTABLE, HAND LIGHTING EQUIP",3,"$3,500.00",5/14/13
MIDDLETOWN TOWNSHIP POLICE DEPARTMENT,MONMOUTH,"CONTAINER,GENERAL PURPOSE",1,"$7,948.54",5/15/13
MIDDLETOWN TOWNSHIP POLICE DEPARTMENT,MONMOUTH,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",1,"$12,102.00",5/15/13
MIDDLETOWN TOWNSHIP POLICE DEPARTMENT,MONMOUTH,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",1,"$12,102.00",5/15/13
MIDDLETOWN TOWNSHIP POLICE DEPARTMENT,MONMOUTH,"TRAILER,TANK",1,"$12,955.00",5/17/13
MIDDLETOWN TOWNSHIP POLICE DEPARTMENT,MONMOUTH,"TRACTOR,WHEELED,INDUSTRIAL",2,"$110,000.00",6/4/13
MIDDLETOWN TOWNSHIP POLICE DEPARTMENT,MONMOUTH,"LADDER,VEHICLE BOARDING",3,"$1,384.78",6/5/13
MIDDLETOWN TOWNSHIP POLICE DEPARTMENT,MONMOUTH,"CAMERA SET,STILL PICTURE",2,"$1,423.00",7/2/13
MIDDLETOWN TOWNSHIP POLICE DEPARTMENT,MONMOUTH,"COMPRESSOR UNIT,RECIPROCATING",4,"$5,283.00",7/2/13
MIDDLETOWN TOWNSHIP POLICE DEPARTMENT,MONMOUTH,"FIRST AID KIT,UNIVERSAL",10,$101.64,7/2/13
MIDDLETOWN TOWNSHIP POLICE DEPARTMENT,MONMOUTH,"LOADER,SCOOP TYPE",1,"$75,450.00",7/2/13
MIDDLETOWN TOWNSHIP POLICE DEPARTMENT,MONMOUTH,BINOCULAR,8,$329.00,7/8/13
MIDDLETOWN TOWNSHIP POLICE DEPARTMENT,MONMOUTH,"LOADER,SCOOP TYPE",1,"$75,450.00",7/9/13
MIDDLETOWN TOWNSHIP POLICE DEPARTMENT,MONMOUTH,"LOADER,SCOOP TYPE",1,"$75,450.00",7/10/13
MIDDLETOWN TOWNSHIP POLICE DEPARTMENT,MONMOUTH,"HAND TOOLS, POWER DRIVEN",2,$0.00,7/26/13
MIDDLETOWN TOWNSHIP POLICE DEPARTMENT,MONMOUTH,"SAW,CHAIN",2,$494.70,7/26/13
MIDDLETOWN TOWNSHIP POLICE DEPARTMENT,MONMOUTH,"GENERATOR SET,DIESEL ENGINE",2,"$3,185.70",8/6/13
MIDDLETOWN TOWNSHIP POLICE DEPARTMENT,MONMOUTH,SEARCHLIGHT,8,"$1,639.24",8/6/13
MIDDLETOWN TOWNSHIP POLICE DEPARTMENT,MONMOUTH,"GENERATOR,ENGINE ACCESSORY",6,"$4,469.00",8/13/13
MIDDLETOWN TOWNSHIP POLICE DEPARTMENT,MONMOUTH,"TIRE,PNEUMATIC,VEHICULAR",2,$432.39,8/19/13
MIDDLETOWN TOWNSHIP POLICE DEPARTMENT,MONMOUTH,WHEEL AND RUNFLAT,2,"$1,236.00",8/19/13
