agency,county,item,quantity,cost,date
BERGEN CO PROS OFFICE,BERGEN,SHELTER HALF,4,$58.55,8/14/96
BERGEN CO PROS OFFICE,BERGEN,COMPUTER,1,"$2,330.00",8/16/96
BERGEN CO PROS OFFICE,BERGEN,MONITOR,1,$100.00,8/16/96
BERGEN CO PROS OFFICE,BERGEN,MONITOR,1,$200.00,8/16/96
BERGEN CO SHERIFF DEPARTMENT,BERGEN,"LAUNCHER,GRENADE",1,$720.00,10/2/08
BERGEN CO SHERIFF DEPARTMENT,BERGEN,COPIER,1,"$1,800.00",4/25/97
BERGEN CO SHERIFF DEPARTMENT,BERGEN,COMPUTER,1,"$1,669.00",7/1/97
BERGEN CO SHERIFF DEPARTMENT,BERGEN,"TRAILER, TANK",1,"$1,698.00",7/25/97
CARLSTADT POLICE DEPARTMENT,BERGEN,WORK STATION,2,$500.00,4/17/95
CARLSTADT POLICE DEPARTMENT,BERGEN,"OVERSHOES,MEN'S    ",45,$16.98,6/27/95
ENGLEWOOD CLIFFS POLICE DEPARTMENT,BERGEN,"COMPUTER, LAPTOP",1,$876.00,2/6/97
ENGLEWOOD CLIFFS POLICE DEPARTMENT,BERGEN,LIGHT,7,$343.00,2/6/97
FORT LEE BOROUGH POLICE DEPARTMENT,BERGEN,HOLSTER,4,$25.00,11/18/94
FORT LEE BOROUGH POLICE DEPARTMENT,BERGEN,PAD,10,$8.00,4/25/95
FORT LEE BOROUGH POLICE DEPARTMENT,BERGEN,CAMERA,2,$500.00,8/3/95
FORT LEE BOROUGH POLICE DEPARTMENT,BERGEN,CONSOLE,6,"$2,000.00",8/3/95
GARFIELD POLICE DEPARTMENT,BERGEN,CELEBRITY,1,"$9,000.00",6/19/96
HACKENSACK POLICE DEPARTMENT,BERGEN,COMPUTER,1,$993.00,10/1/97
HACKENSACK POLICE DEPARTMENT,BERGEN,POWER SUPPLY,2,$50.00,10/1/97
LITTLE FERRY POLICE DEPARTMENT,BERGEN,"CHEST,AMMUNITION",30,$11.10,2/28/14
LYNDHURST POLICE DEPARTMENT,BERGEN,"FLOODLIGHT SET, ELECTRIC",1,"$10,795.31",1/8/98
,BERGEN,"NIGHT VISION SIGHT,",1,"$19,000.00",4/21/95
,BERGEN,"NIGHT VISION SIGHT,",1,"$19,000.00",4/21/95
,BERGEN,"VIEWER,NIGHT VISION",1,"$4,110.00",5/31/95
,BERGEN,"RIFLE,5.56 MILLIMETER",1,$499.00,1/25/06
,BERGEN,"RIFLE,5.56 MILLIMETER",1,$499.00,1/25/06
,BERGEN,"RIFLE,5.56 MILLIMETER",1,$499.00,1/25/06
,BERGEN,"RIFLE,5.56 MILLIMETER",1,$499.00,1/25/06
,BERGEN,"RIFLE,5.56 MILLIMETER",1,$499.00,1/25/06
,BERGEN,"RIFLE,5.56 MILLIMETER",1,$499.00,1/25/06
,BERGEN,"RIFLE,5.56 MILLIMETER",1,$499.00,1/17/08
,BERGEN,"RIFLE,5.56 MILLIMETER",1,$499.00,1/17/08
,BERGEN,"RIFLE,5.56 MILLIMETER",1,$499.00,1/17/08
,BERGEN,"RIFLE,5.56 MILLIMETER",1,$499.00,1/17/08
,BERGEN,"RIFLE,5.56 MILLIMETER",1,$499.00,1/17/08
,BERGEN,"RIFLE,5.56 MILLIMETER",1,$499.00,8/20/08
,BERGEN,"RIFLE,5.56 MILLIMETER",1,$499.00,8/20/08
,BERGEN,"RIFLE,5.56 MILLIMETER",1,$499.00,8/20/08
,BERGEN,"RIFLE,5.56 MILLIMETER",1,$499.00,8/20/08
,BERGEN,"RIFLE,5.56 MILLIMETER",1,$499.00,8/20/08
,BERGEN,"RIFLE,7.62 MILLIMETER",1,$138.00,9/17/08
,BERGEN,"RIFLE,7.62 MILLIMETER",1,$138.00,9/17/08
,BERGEN,"RIFLE,7.62 MILLIMETER",1,$138.00,9/17/08
,BERGEN,"RIFLE,7.62 MILLIMETER",1,$138.00,9/17/08
,BERGEN,"RIFLE,7.62 MILLIMETER",1,$138.00,9/17/08
,BERGEN,"RIFLE,7.62 MILLIMETER",1,$138.00,9/17/08
,BERGEN,"RIFLE,7.62 MILLIMETER",1,$138.00,10/9/08
,BERGEN,"RIFLE,7.62 MILLIMETER",1,$138.00,10/9/08
,BERGEN,"RIFLE,7.62 MILLIMETER",1,$138.00,10/9/08
